ref,heading,source_basis,status
2 Kings 24:6,Jehoiachin Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 24:10,Captivity of Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 24:18,Zedekiah Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 25:1,Nebuchadnezzar Besieges Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 25:8,Temple Destroyed,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 25:18,Captives Carried to Babylon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 25:22,Gedaliah Governs in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 25:25,Murder of Gedaliah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Kings 25:27,Jehoiachin Released from Prison,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 1:1,From Adam to Abraham,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 1:28,Descendants of Abraham,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 1:35,Descendants of Esau,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 1:38,Descendants of Seir,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 1:43,Kings of Edom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 2:1,Sons of Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 3:1,Descendants of David,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 3:10,Descendants of Solomon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 3:17,Royal Line After the Exile,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 4:1,Descendants of Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 4:9,Prayer of Jabez,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 4:11,More Descendants of Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 4:24,Descendants of Simeon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 5:1,Descendants of Reuben,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 5:11,Descendants of Gad,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 5:23,Half-Tribe of Manasseh,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 6:1,Descendants of Levi,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 6:31,Temple Musicians,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 6:48,Descendants of Aaron,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 6:54,Territories for the Levites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 7:1,Descendants of Issachar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 7:6,Descendants of Benjamin,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 7:13,Descendants of Naphtali,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 7:14,Descendants of Manasseh,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 7:20,Descendants of Ephraim,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 7:30,Descendants of Asher,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 8:1,Genealogy from Benjamin to Saul,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 8:33,Family of Saul,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 9:1,People of Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 9:35,Descendants of Saul,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 10:1,Saul's Overthrow and Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 10:7,Philistines Possess the Towns,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 10:11,Jabesh-Gilead's Tribute to Saul,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 11:1,David Anointed King of All Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 11:4,David Conquers Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 11:10,David's Mighty Men,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 12:1,Mighty Men Join David at Ziklag,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 12:23,David's Army Grows at Hebron,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 13:1,David Fetches the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 13:8,Uzzah Touches the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 14:1,David's Family Grows,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 14:8,Two Victories Over the Philistines,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 15:1,Preparing to Move the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 15:14,Priests and Levites Carry the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 15:25,Moving the Ark to Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 15:29,Michal's Contempt for David,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 16:1,A Tent for the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 16:7,David's Psalms of Thanksgiving,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 16:23,"Sing to the Lord, All the Earth",Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 16:37,Worship Before the Ark,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 17:1,God's Covenant with David,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 17:16,David's Prayer of Thanksgiving,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 18:1,David's Triumphs,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 18:14,David's Officers,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 19:1,David's Messengers Disgraced,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 19:10,David Defeats Ammon and Aram,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 20:1,Capture of Rabbah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 20:4,Battles Against the Philistines,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 21:1,David's Military Census,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 21:7,Judgment for David's Sin,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 21:14,A Plague on Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 21:18,David Builds an Altar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 22:1,Preparations for the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 22:6,Solomon Anointed to Build the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 23:1,Divisions of the Levites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 23:7,Gershonites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 23:12,Kohathites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 23:21,Merarites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 23:24,Levite Duties Revised,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 24:1,Twenty-Four Divisions of Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 24:20,Rest of the Levites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 25:1,Twenty-Four Divisions of Musicians,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 26:1,Divisions of the Gatekeepers,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 26:20,"Treasurers, Officers, and Judges",Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 27:1,Twelve Captains for Twelve Months,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 27:16,Leaders of the Twelve Tribes,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 27:25,David's Various Overseers,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 27:32,Counselors,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 28:1,David Commissions Solomon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 28:11,Plans for the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 29:1,Offerings for the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 29:10,David's Prayer of Blessing,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 29:21,Solomon Anointed King,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
1 Chronicles 29:26,David's Reign and Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 1:1,Solomon's Prayer for Wisdom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 1:14,Solomon's Riches,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 2:1,Preparations for the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 2:11,Hiram's Reply to Solomon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 3:1,Temple Construction Begins,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 3:5,Temple's Interior,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 3:10,Cherubim,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 3:14,Veil and Pillars,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 4:1,Bronze Altar and Molten Sea,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 4:6,"Ten Basins, Lampstands, and Tables",Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 4:9,Courts,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 4:11,Completion of the Bronze Works,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 4:19,Completion of the Gold Furnishings,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 5:1,Ark Enters the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 6:1,Solomon Blesses the Lord,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 6:12,Solomon's Prayer of Dedication,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 7:1,Fire from Heaven,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 7:4,Sacrifices of Dedication,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 7:11,Lord's Response to Solomon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 8:1,Solomon's Additional Achievements,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 9:1,Queen of Sheba,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 9:13,Solomon's Wealth and Splendor,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 9:29,Death of Solomon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 10:1,Rebellion Against Rehoboam,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 10:16,Kingdom Divided,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 11:1,Shemaiah's Prophecy,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 11:5,Rehoboam Fortifies Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 11:13,Jeroboam Forsakes the Priests and Levites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 11:18,Rehoboam's Family,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 12:1,Shishak Raids Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 12:13,Rehoboam's Reign and Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 13:1,Abijah Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 13:4,Civil War Against Jeroboam,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 14:1,Asa Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 15:1,Prophecy of Azariah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 15:8,Asa's Reforms,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 16:1,War Between Asa and Baasha,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 16:7,Hanani's Message to Asa,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 16:11,Death and Burial of Asa,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 17:1,Jehoshaphat Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 18:1,Jehoshaphat Allies with Ahab,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 18:12,Micaiah Prophesies Against Ahab,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 18:28,Ahab's Defeat and Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 19:1,Jehoshaphat Reproved by Jehu,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 19:4,Jehoshaphat's Reforms,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:1,War Against Jehoshaphat,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:5,Jehoshaphat's Prayer,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:14,Prophecy of Jahaziel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:20,Enemies Destroy Themselves,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:26,Joyful Return,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:31,Summary of Jehoshaphat's Reign,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 20:35,Jehoshaphat's Fleet Is Wrecked,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 21:1,Jehoram Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 21:8,Edom and Libnah Rebel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 21:12,Elijah's Letter to Jehoram,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 21:16,Jehoram's Disease and Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 22:1,Ahaziah Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 22:8,Jehu Kills the Princes of Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 22:10,Athaliah and Joash,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 23:1,Joash Anointed King of Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 23:12,Death of Athaliah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 23:16,Jehoiada Restores the Worship of the Lord,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 24:1,Joash Repairs the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 24:15,Jehoiada's Death and Burial,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 24:17,Wickedness of Joash,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 24:23,Death of Joash,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 25:1,Amaziah Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 25:5,Amaziah's Victories,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 25:14,Amaziah Rebuked for Idolatry,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 25:17,Jehoash Defeats Amaziah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 25:25,Death of Amaziah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 26:1,Uzziah Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 27:1,Jotham Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 28:1,Ahaz Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 28:5,Aram Defeats Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 28:16,Idolatry of Ahaz,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 29:1,Hezekiah Cleanses the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 29:20,Hezekiah Restores Temple Worship,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 30:1,Hezekiah Proclaims a Passover,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 30:13,Hezekiah Celebrates the Passover,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 31:1,Destruction of Idols,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 31:3,Contributions for Worship,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 31:11,Hezekiah Organizes the Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 32:1,Sennacherib Invades Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 32:9,Sennacherib Threatens Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 32:20,Jerusalem Delivered from the Assyrians,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 32:24,Hezekiah's Illness and Recovery,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 32:32,Hezekiah's Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 33:1,Manasseh Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 33:10,Manasseh's Repentance and Restoration,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 33:21,Amon Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 34:1,Josiah Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 34:3,Josiah Destroys Idolatry,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 34:8,Josiah Repairs the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 34:14,Hilkiah Finds the Book of the Law,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 34:22,Huldah's Prophecy,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 34:29,Josiah Renews the Covenant,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 35:1,Josiah Restores the Passover,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 35:20,Death of Josiah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 35:25,Laments Over Josiah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 36:1,Jehoahaz Succeeds Josiah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 36:5,Jehoiakim Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
2 Chronicles 36:9,Jehoiachin Reigns in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
