ref,marker_types,draft_translation,comparison_notes,greek_absent_in_ethiopic,ethiopic_absent_in_greek,restored_text,interpolations,supplied_text,emended_text,corrupt_text,next_review
1 Enoch 22:5,restored_text; emended_text,"I saw the spirits of the children of men who were dead, and their voice went forth to heaven and made suit. I saw the spirit of a dead man making suit, and his voice went forth to heaven and made suit.",Charles restored text: the spirit of; Charles emended text: a dead man,,,the spirit of,,,a dead man,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:8,emended_text,"Then I asked regarding it, and regarding all the hollow places: ‘Why is one separated from the other?’ G^g Then I asked regarding all the hollow places: ‘Why is one separated from the other?’ E",Charles emended text: hollow places,,,,,,hollow places,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:9,restored_text; emended_text,"And he answered me and said unto me: ‘These three have been made that the spirits of the dead might be separated. And such a division has been made for the spirits of the righteous, in which there is the bright spring of water. And he answered me saying: ‘These three have been made that the spirits of the dead might be separated. And this division has been made for the spirits of the righteous, in which there is the bright spring of water.",Charles restored text: for; Charles emended text: bright; this,,,for,,,bright; this,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:10,emended_text,And such has been made for sinners when they die and are buried in the earth and judgement has not been executed on them in their lifetime. And this has been made for sinners when they die and are buried in the earth and judgement has not been executed upon them in their lifetime.,Charles emended text: And; this,,,,,,And; this,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:11,supplied_text; emended_text; corrupt_text,"Here their spirits shall be set apart in this great pain till the great day of judgement and punishment and torment of those who curse for ever, and retribution for their spirits. There He shall bind them for ever. Here their spirits shall be set apart in this great pain, till the great day of judgement, scourgings, and torments of the accursed for ever, so that (there may be) retribution for their spirits. There He shall bind them for ever.",Charles supplied text: there may be; Charles emended text: so that; Charles marks corrupt text: curse,,,,,there may be,so that,curse,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:12,emended_text,"And such a division has been made for the spirits of those who make their suit, who make disclosures concerning their destruction, when they were slain in the days of the sinners. And this division has been made for the spirits of those who make their suit, who make disclosures concerning their destruction, when they were slain in the days of the sinners.",Charles emended text: this,,,,,,this,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:13,emended_text,"Such has been made for the spirits of men who were not righteous but sinners, who were complete in transgression, and of the transgressors they shall be companions: but their spirits shall not be slain in the day of judgement nor shall they be raised from thence.’ And this has been made for the spirits of men who shall not be righteous but sinners, who are godless, and of the lawless they shall be companions: but their spirits shall not be punished in the day of judgement nor shall they be raised from thence.’",Charles emended text: this,,,,,,this,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 23:2,ethiopic_absent_in_greek; supplied_text,"And I saw a burning fire which ran without resting, and paused not from its course day or night but (ran) regularly.",Ethiopic has text absent from G^g/G^s: burning; Charles supplied text: ran,,burning,,,ran,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 23:4,greek_absent_in_ethiopic; ethiopic_absent_in_greek; corrupt_text,"Then Raguel, one of the holy angels who was with me, answered me and said unto me: ‘This course of fire which thou hast seen is the fire in the west which persecutes all the luminaries of heaven.’",G^g has text absent from Ethiopic: of fire; Ethiopic has text absent from G^g/G^s: and said unto me; which thou hast seen; Charles marks corrupt text: persecutes,of fire,and said unto me; which thou hast seen,,,,,persecutes,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 24:1,ethiopic_absent_in_greek,"And from thence I went to another place of the earth, and he showed me a mountain range of fire which burnt day and night.",Ethiopic has text absent from G^g/G^s: And from thence I went to another place of the earth; day and,,And from thence I went to another place of the earth; day and,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 24:2,ethiopic_absent_in_greek; supplied_text,"And I went beyond it and saw seven magnificent mountains all differing each from the other, and the stones (thereof) were magnificent and beautiful, magnificent as a whole, of glorious appearance and fair exterior: three towards the east, one founded on the other, and three towards the south, one upon the other, and deep rough ravines, no one of which joined with any other.",Ethiopic has text absent from G^g/G^s: three towards; one; one; Charles supplied text: thereof,,three towards; one; one,,,thereof,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 24:4,ethiopic_absent_in_greek,"And amongst them was a tree such as I had never yet smelt, neither was any amongst them nor were others like it: it had a fragrance beyond all fragrance, and its leaves and blooms and wood wither not for ever: and its fruit is beautiful, and its fruit resembles the dates of a palm.","Ethiopic has text absent from G^g/G^s: is beautiful, and its fruit",,"is beautiful, and its fruit",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 24:5,greek_absent_in_ethiopic; ethiopic_absent_in_greek,"Then I said: ‘How beautiful is this tree, and fragrant, and its leaves are fair, and its blooms very delightful in appearance.’",G^g has text absent from Ethiopic: How; Ethiopic has text absent from G^g/G^s: very,How,very,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 24:6,ethiopic_absent_in_greek,"Then answered Michael, one of the holy and honoured angels who was with me, and was their leader,",Ethiopic has text absent from G^g/G^s: and honoured,,and honoured,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 25:1,greek_absent_in_ethiopic,"And he said unto me: ‘Enoch, why dost thou ask me regarding the fragrance of the tree, and why dost thou wish to learn the truth?’",G^g has text absent from Ethiopic: why,why,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 25:2,ethiopic_absent_in_greek,"Then I answered him, saying: ‘I wish to know about everything, but especially about this tree.’",Ethiopic has text absent from G^g/G^s: saying,,saying,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 25:3,ethiopic_absent_in_greek,"And he answered, saying: ‘This high mountain which thou hast seen, whose summit is like the throne of God, is His throne, where the Holy Great One, the Lord of Glory, the Eternal King will sit, when He shall come down to visit the earth with goodness.",Ethiopic has text absent from G^g/G^s: which thou hast seen,,which thou hast seen,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 25:4,supplied_text,"And as for this fragrant tree no mortal is permitted to touch it till the great judgement, when He shall take vengeance on all and bring (everything) to its consummation for ever. It shall then be given to the righteous and holy.",Charles supplied text: everything,,,,,everything,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 25:5,emended_text,"Its fruit shall be for food to the elect: it shall be transplanted to the holy place, to the temple of the Lord, the Eternal King.",Charles emended text: shall be,,,,,,shall be,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 25:6,ethiopic_absent_in_greek,"Then shall they rejoice with joy and be glad. And into the holy place shall they enter; And its fragrance shall be in their bones, And they shall live a long life on earth, Such as thy fathers lived: And in their days shall no sorrow or plague Or torment or calamity touch them.’",Ethiopic has text absent from G^g/G^s: sorrow or,,sorrow or,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 26:1,greek_absent_in_ethiopic; interpolations,"And I went from thence to the middle of the earth, and I saw a blessed place in which there were trees with branches abiding and blooming of a dismembered tree.",G^g has text absent from Ethiopic: in which there were trees; Charles marks interpolation: of a dismembered tree,in which there were trees,,,of a dismembered tree,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 26:2,ethiopic_absent_in_greek,"And there I saw a holy mountain, and underneath the mountain to the east there was a stream and it flowed towards the south.",Ethiopic has text absent from G^g/G^s: and,,and,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 26:3,greek_absent_in_ethiopic,"And I saw towards the east another mountain higher than this, and between them a deep and narrow ravine: in it also ran a stream underneath the mountain.",G^g has text absent from Ethiopic: underneath,underneath,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 26:4,greek_absent_in_ethiopic,"And to the west thereof there was another mountain, lower than the former and of small elevation, and a ravine deep and dry between them: and another deep and dry ravine was at the extremities of the three mountains.",G^g has text absent from Ethiopic: deep and dry; mountains,deep and dry; mountains,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 26:5,ethiopic_absent_in_greek; supplied_text,"And all the ravines were deep and narrow, (being formed) of hard rock, and trees were not planted upon them.",Ethiopic has text absent from G^g/G^s: and narrow; Charles supplied text: being formed,,and narrow,,,being formed,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 26:6,ethiopic_absent_in_greek,"And I marvelled at the rocks, and I marvelled at the ravine, yea, I marvelled very much.","Ethiopic has text absent from G^g/G^s: at the rocks, and I marvelled",,"at the rocks, and I marvelled",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 27:1,ethiopic_absent_in_greek,"Then said I: ‘For what object is this blessed land, which is entirely filled with trees, and this accursed valley between?’",Ethiopic has text absent from G^g/G^s: between?,,between?,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 27:2,greek_absent_in_ethiopic; ethiopic_absent_in_greek,"Then Uriel, one of the holy angels who was with me, answered and said: ‘This valley is for those who are accursed for ever: here shall all the accursed be gathered together who utter with their lips against the Lord unseemly words and of His glory speak hard things. E Here shall they be gathered together, and here shall be their place of judgement.","G^g has text absent from Ethiopic: the accursed; Ethiopic has text absent from G^g/G^s: Then Uriel, one of the holy angels who was with me, answered and said: ‘This",the accursed,"Then Uriel, one of the holy angels who was with me, answered and said: ‘This",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 27:3,emended_text,"In the last days there shall be upon them the spectacle of righteous judgement in the presence of the righteous for ever: here shall the merciful bless the Lord of Glory, the Eternal King. G^g Here shall they be gathered together, and here shall be the place of their habitation. In the last times, in the days of the true judgement in the presence of the righteous for ever: here shall the godly bless the Lord of Glory, the Eternal King.",Charles emended text: godly,,,,,,godly,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 27:4,supplied_text,"In the days of judgement over the former, they shall bless Him for the mercy in accordance with which He has assigned them (their lot).’",Charles supplied text: their lot,,,,,their lot,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 27:5,greek_absent_in_ethiopic,Then I blessed the Lord of Glory and set forth His glory and lauded Him gloriously.,G^g has text absent from Ethiopic: glory,glory,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 28:1,ethiopic_absent_in_greek; emended_text,"And thence I went towards the east, into the midst of the mountain range of the desert, and I saw a wilderness and it was solitary, full of trees and plants.",Ethiopic has text absent from G^g/G^s: towards the east; of the mountain range; Charles emended text: and plants,,towards the east; of the mountain range,,,,and plants,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 28:2,ethiopic_absent_in_greek,And water gushed forth from above.,Ethiopic has text absent from G^g/G^s: And,,And,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 28:3,interpolations; emended_text,Rushing like a copious watercourse which flowed towards the north-west it caused clouds and dew to ascend on every side.,Charles marks interpolation: which flowed; Charles emended text: clouds,,,,which flowed,,clouds,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 29:2,ethiopic_absent_in_greek; emended_text,"And there I saw aromatic trees exhaling the fragrance of frankincense and myrrh, and the trees also were similar to the almond tree.",Ethiopic has text absent from G^g/G^s: there; Charles emended text: aromatic,,there,,,,aromatic,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 30:1,supplied_text,"And beyond these, I went afar to the east, and I saw another place, a valley (full) of water.",Charles supplied text: full,,,,,full,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 30:2,greek_absent_in_ethiopic; supplied_text,"And therein there was a tree, the colour (?) of fragrant trees such as the mastic.",G^g has text absent from Ethiopic: therein there was; Charles supplied text: ?,therein there was,,,,?,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 31:1,greek_absent_in_ethiopic,"And I saw other mountains, and amongst them were groves of trees, and there flowed forth from them nectar, which is named sarara and galbanum.",G^g has text absent from Ethiopic: groves of,groves of,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 31:2,greek_absent_in_ethiopic; ethiopic_absent_in_greek; emended_text,"And beyond these mountains I saw another mountain to the east of the ends of the earth, whereon were aloe trees, and all the trees were full of stacte, being like almond trees.",G^g has text absent from Ethiopic: to the east of the ends of the earth; Ethiopic has text absent from G^g/G^s: whereon were aloe trees; Charles emended text: of stacte,to the east of the ends of the earth,whereon were aloe trees,,,,of stacte,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 31:3,emended_text,"And when one burnt it, it smelt sweeter than any fragrant odour. E",Charles emended text: burnt,,,,,,burnt,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 32:2,greek_absent_in_ethiopic; ethiopic_absent_in_greek,"And thence I went over the summits of all these mountains, far towards the east of the earth, and passed above the Erythraean sea, and went far from it, and passed over the angel Zotîêl. E",G^g has text absent from Ethiopic: all; of the earth; Ethiopic has text absent from G^g/G^s: the angel,all; of the earth,the angel,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 32:3,corrupt_text,"And I came to the Garden of Righteousness, and saw beyond those trees many large trees growing there and of goodly fragrance, large, very beautiful and glorious, and the tree of wisdom whereof they eat and know great wisdom. G^g And I came to the Garden of Righteousness, and from afar off trees more numerous than these trees and great—two trees there, very great, beautiful, and glorious, and magnificent, and the tree of knowledge, whose holy fruit they eat and know great wisdom.",Charles marks corrupt text: two,,,,,,,two,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 32:4,greek_absent_in_ethiopic; supplied_text,"That tree is in height like the fir, and its leaves are like (those of) the Carob tree: and its fruit is like the clusters of the vine, very beautiful: and the fragrance of the tree penetrates afar.","G^g has text absent from Ethiopic: That tree is in height like the fir, and its leaves are; Charles supplied text: those of","That tree is in height like the fir, and its leaves are",,,,those of,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 32:5,greek_absent_in_ethiopic,"Then I said: ‘How beautiful is the tree, and how attractive is its look!’",G^g has text absent from Ethiopic: How,How,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 32:6,ethiopic_absent_in_greek; supplied_text,"Then Raphael, the holy angel who was with me, answered me and said: ‘This is the tree of wisdom, of which thy father old (in years) and thy aged mother, who were before thee, have eaten, and they learnt wisdom and their eyes were opened, and they knew that they were naked and they were driven out of the garden.’",Ethiopic has text absent from G^g/G^s: and said; Charles supplied text: in years,,and said,,,in years,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 33:1,supplied_text,"And from thence I went to the ends of the earth and saw there great beasts, and each differed from the other; and (I saw) birds also differing in appearance and beauty and voice, the one differing from the other.",Charles supplied text: I saw,,,,,I saw,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 34:3,corrupt_text,"And out of one portal they blow for good: but when they blow through the other two portals, it is with violence and affliction on the earth, and they blow with violence.","Charles marks corrupt text: it is with violence and affliction on the earth, and they blow with violence.",,,,,,,"it is with violence and affliction on the earth, and they blow with violence.",Review Charles editorial marker before using this wording in an appendix.
1 Enoch 35:1,corrupt_text,"And from thence I went towards the west to the ends of the earth, and saw there three portals of the heaven open such as I had seen in the east, the same number of portals, and the same number of outlets.",Charles marks corrupt text: east,,,,,,,east,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 36:1,corrupt_text,"And from thence I went to the south to the ends of the earth, and saw there three open portals of the heaven: and thence there come dew, rain, and wind.",Charles marks corrupt text: and wind,,,,,,,and wind,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 36:4,emended_text,"And as often as I saw I blessed always the Lord of Glory, and I continued to bless the Lord of Glory who has wrought great and glorious wonders, to show the greatness of His work to the angels and to spirits and to men, that they might praise His work and all His creation: that they might see the work of His might and praise the great work of His hands and bless Him for ever. THE PARABLES. XXXVII-LXXI.",Charles emended text: spirits,,,,,,spirits,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 37:3,supplied_text,"It were better to declare (them only) to the men of old time, but even from those that come after we will not withhold the beginning of wisdom.",Charles supplied text: them only,,,,,them only,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 37:4,emended_text,"Till the present day such wisdom has never been given by the Lord of Spirits as I have received according to my insight, according to the good pleasure of the Lord of Spirits by whom the lot of eternal life has been given to me.",Charles emended text: by,,,,,,by,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 38:4,emended_text,"From that time those that possess the earth shall no longer be powerful and exalted: And they shall not be able to behold the face of the holy, For the Lord of Spirits has caused His light to appear On the face of the holy, righteous, and elect.",Charles emended text: has caused His light to appear,,,,,,has caused His light to appear,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 39:1,corrupt_text,"And it shall come to pass in those days that elect and holy children will descend from the high heaven, and their seed will become one with the children of men.",Charles marks corrupt text: shall come to pass in those days that elect and holy children,,,,,,,shall come to pass in those days that elect and holy children,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 39:5,interpolations; corrupt_text,"Here mine eyes saw their dwellings with His righteous angels, And their resting-places with the holy. And they petitioned and interceded and prayed for the children of men. And righteousness flowed before them as water, And mercy like dew upon the earth: Thus it is amongst them for ever and ever. 6 And in that place mine eyes saw the Elect One of righteousness and of faith, 7 And I saw his dwelling-place under the wings of the Lord of Spirits. 6 And righteousness shall prevail in his days, And the righteous and elect shall be without number before Him for ever and ever. 7 And all the righteous and elect before Him shall be strong as fiery lights, And their mouth shall be full of blessing, And their lips shall extol the name of the Lord of Spirits, And righteousness before Him shall never fail, And uprightness shall never fail before Him.",Charles marks interpolation: And uprightness shall never fail before Him; Charles marks corrupt text: strong,,,,And uprightness shall never fail before Him,,,strong,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 40:6,emended_text,And the third voice I heard pray and intercede for those who dwell on the earth and supplicate in the name of the Lord of Spirits.,Charles emended text: pray and intercede; supplicate,,,,,,pray and intercede; supplicate,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 43:2,supplied_text,"And I saw how they are weighed in a righteous balance according to their proportions of light: (I saw) the width of their spaces and the day of their appearing, and how their revolution produces lightning: and (I saw) their revolution according to the number of the angels, and (how) they keep faith with each other.",Charles supplied text: I saw; I saw; how,,,,,I saw; I saw; how,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 43:4,supplied_text,And he said to me: ‘The Lord of Spirits hath showed thee their parabolic meaning (lit. ‘their parable’): these are the names of the holy who dwell on the earth and believe in the name of the Lord of Spirits for ever and ever.’,Charles supplied text: lit. ‘their parable’,,,,,lit. ‘their parable’,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 45:3,emended_text,"On that day Mine Elect, One shall sit on the throne of glory And shall try their works, And their places of rest shall be innumerable. And their souls shall grow strong within them when they see Mine elect ones, And those who have called upon My glorious name:",Charles emended text: try,,,,,,try,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 46:2,supplied_text; emended_text,"And I asked the angel who went with me and showed me all the hidden things, concerning that Son of Man, who he was, and whence he was, (and) why he went with the Head of Days?",Charles supplied text: and; Charles emended text: angel,,,,,and,angel,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 46:4,interpolations; corrupt_text,"And this Son of Man whom thou hast seen Shall raise up the kings and the mighty from their seats, And the strong from their thrones And shall loosen the reins of the strong, And break the teeth of the sinners;",Charles marks interpolation: And the strong from their thrones; Charles marks corrupt text: raise up,,,,And the strong from their thrones,,,raise up,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 46:5,interpolations,"And he shall put down the kings from their thrones and kingdoms Because they do not extol and praise Him, Nor humbly acknowledge whence the kingdom was bestowed upon them.",Charles marks interpolation: And he shall put down the kings from their thrones and kingdoms,,,,And he shall put down the kings from their thrones and kingdoms,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 46:7,interpolations; corrupt_text,"And these are they who judge the stars of heaven, And raise their hands against the Most High, And tread upon the earth and dwell upon it. And all their deeds manifest unrighteousness, And their power rests upon their riches, And their faith is in the gods which they have made with their hands, And they deny the name of the Lord of Spirits,",Charles marks interpolation: And raise their hands against the Most High; Charles marks corrupt text: judge; And tread upon the earth and dwell upon it; gods,,,,And raise their hands against the Most High,,,judge; And tread upon the earth and dwell upon it; gods,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 47:2,interpolations,"In those days the holy ones who dwell above in the heavens Shall unite with one voice And supplicate and pray and praise, And give thanks and bless the name of the Lord of Spirits On behalf of the blood of the righteous which has been shed, And that the prayer of the righteous may not be in vain before the Lord of Spirits, That judgement may be done unto them, And that they may not have to suffer for ever.","Charles marks interpolation: and praise, And give thanks and bless the name of the Lord of Spirits",,,,"and praise, And give thanks and bless the name of the Lord of Spirits",,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 47:4,emended_text,"And the hearts of the holy were filled with joy; Because the number of the righteous had been offered, And the prayer of the righteous had been heard, And the blood of the righteous been required before the Lord of Spirits.",Charles emended text: had been offered,,,,,,had been offered,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 48:8,supplied_text,"In those days downcast in countenance shall the kings of the earth have become, And the strong who possess the land because of the works of their hands; For on the day of their anguish and affliction they shall not (be able to) save themselves,",Charles supplied text: be able to,,,,,be able to,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 50:2,supplied_text,"On the day of affliction on which evil shall have been treasured up against the sinners. And the righteous shall be victorious in the name of the Lord of Spirits: And He will cause the others to witness (this), That they may repent And forgo the works of their hands.",Charles supplied text: this,,,,,this,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 51:3,supplied_text,"And the Elect One shall in those days sit on My throne, And his mouth shall pour forth all the secrets of wisdom and counsel: For the Lord of Spirits hath given (them) to him and hath glorified him.",Charles supplied text: them,,,,,them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 51:4,interpolations,"And in those days shall the mountains leap like rams, And the hills also shall skip like lambs satisfied with milk, And the faces of all the angels in heaven shall be lighted up with joy. 5 And the earth shall rejoice, And the righteous shall dwell upon it, And the elect shall walk thereon. Only six are mentioned; see Charles’ note in his large edition.—EDD.",Charles marks interpolation: all; Only six are mentioned; see Charles’ note in his large edition.—EDD.,,,,all; Only six are mentioned; see Charles’ note in his large edition.—EDD.,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 52:6,interpolations,"And these mountains which thine eyes have seen, The mountain of iron, and the mountain of copper, and the mountain of silver, And the mountain of gold, and the mountain of soft metal, and the mountain of lead, All these shall be in the presence of the Elect One, As wax before the fire, And like the water which streams down from above upon those mountains, And they shall become powerless before his feet.",Charles marks interpolation: upon those mountains,,,,upon those mountains,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 52:8,interpolations,"And there shall be no iron for war, Nor shall one clothe oneself with a breastplate. Bronze shall be of no service, And tin shall be of no service and shall not be esteemed, And lead shall not be desired.",Charles marks interpolation: shall be of no service and,,,,shall be of no service and,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 52:9,interpolations,"And all these things shall be denied and destroyed from the surface of the earth, When the Elect One shall appear before the face of the Lord of Spirits.’",Charles marks interpolation: denied and,,,,denied and,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 53:2,emended_text,"And their hands commit lawless deeds, And the sinners devour all whom they lawlessly oppress: Yet the sinners shall be destroyed before the face of the Lord of Spirits, And they shall be banished from off the face of His earth, And they shall perish for ever and ever.",Charles emended text: oppress,,,,,,oppress,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 53:3,supplied_text,For I saw all the angels of punishment abiding (there) and preparing all the instruments of Satan.,Charles supplied text: there,,,,,there,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 54:10,emended_text,"And when they have recognized their unrighteousness which they have wrought on the earth, then by these shall they perish.’",Charles emended text: when,,,,,,when,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 55:3,emended_text,"‘When I have desired to take hold of them by the hand of the angels on the day of tribulation and pain because of this, I will cause My chastisement and My wrath to abide upon them, saith God, the Lord of Spirits.",Charles emended text: because of,,,,,,because of,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 55:4,corrupt_text,"Ye mighty kings who dwell on the earth, ye shall have to behold Mine Elect One, how he sits on the throne of glory and judges Azâzêl, and all his associates, and all his hosts in the name of the Lord of Spirits.’",Charles marks corrupt text: mighty kings,,,,,,,mighty kings,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 56:6,interpolations,"And they shall go up and tread under foot the land of His elect ones, And the land of His elect ones shall be before them a threshing-floor and a highway:",Charles marks interpolation: And the land of His elect ones shall be before them a threshing-floor and a highway,,,,And the land of His elect ones shall be before them a threshing-floor and a highway,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 58:6,interpolations; supplied_text; emended_text,"And there shall be a light that never endeth, And to a limit (lit. ‘number’) of days they shall not come, For the darkness shall first have been destroyed, And the light established before the Lord of Spirits And the light of uprightness established for ever before the Lord of Spirits.",Charles marks interpolation: And the light established before the Lord of Spirits; Charles supplied text: lit. ‘number’; Charles emended text: endeth,,,,And the light established before the Lord of Spirits,lit. ‘number’,endeth,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 59:1,supplied_text,"In those days mine eyes saw the secrets of the lightnings, and of the lights, and the judgements they execute (lit. ‘their judgement’): and they lighten for a blessing or a curse as the Lord of Spirits willeth.",Charles supplied text: lit. ‘their judgement’,,,,,lit. ‘their judgement’,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 59:2,emended_text,"And there I saw the secrets of the thunder, and how when it resounds above in the heaven, the sound thereof is heard, and he caused me to see the judgements executed on the earth, whether they be for well-being and blessing, or for a curse, according to the word of the Lord of Spirits.",Charles emended text: judgements,,,,,,judgements,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 60:1,corrupt_text,"In the year five hundred, in the seventh month, on the fourteenth day of the month in the life of Enoch. In that Parable I saw how a mighty quaking made the heaven of heavens to quake, and the host of the Most High, and the angels, a thousand thousands and ten thousand times ten thousand, were disquieted with a great disquiet.",Charles marks corrupt text: Enoch,,,,,,,Enoch,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 60:6,emended_text,"And when the day, and the power, and the punishment, and the judgement come, which the Lord of Spirits hath prepared for those who worship not the righteous law, and for those who deny the righteous judgement, and for those who take His name in vain—that day is prepared; for the elect a covenant, but for sinners an inquisition.",Charles emended text: law,,,,,,law,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 60:8,corrupt_text,"But the male is named Behemoth, who occupied with his breast a waste wilderness named Dûidâin, on the east of the garden where the elect and righteous dwell, where my grandfather was taken up, the seventh from Adam, the first man whom the Lord of Spirits created.",Charles marks corrupt text: Dûidâin,,,,,,,Dûidâin,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 60:12,supplied_text; emended_text,"And the chambers of the winds, and how the winds are divided, and how they are weighed, and (how) the portals of the winds are reckoned, each according to the power of the wind, and the power of the lights of the moon, and according to the power that is fitting: and the divisions of the stars according to their names, and how all the divisions are divided.",Charles supplied text: how; Charles emended text: portals,,,,,how,portals,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 60:14,supplied_text; corrupt_text,"For the thunder has places of rest (which) are assigned (to it) while it is waiting for its peal; and the thunder and lightning are inseparable, and although not one and undivided, they both go together through the spirit and separate not.",Charles supplied text: which; to it; Charles marks corrupt text: places of rest,,,,,which; to it,,places of rest,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 60:18,supplied_text,"And the spirit of the snow has forsaken (his chamber) on account of his strength—there is a special spirit therein, and that which ascends from it is like smoke, and its name is frost.",Charles supplied text: his chamber,,,,,his chamber,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 60:19,corrupt_text,"And the spirit of the mist is not united with them in their chambers, but it has a special chamber; for its course is glorious both in light and in darkness, and in winter and in summer, and in its chamber is an angel.",Charles marks corrupt text: glorious,,,,,,,glorious,Review Charles editorial marker before using this wording in an appendix.
