book_code,book_name,canonical_order,section,intro_title,traditional_author,authorship_basis,jesus_or_nt_attribution,composition_date,mt_timeline,lxx_timeline,historical_setting,purpose_theme,key_themes,outline,oldest_fragment,oldest_fragment_date,oldest_substantial_manuscript,oldest_substantial_date,oldest_complete_hebrew,oldest_complete_hebrew_date,oldest_complete_greek,oldest_complete_greek_date,oldest_external_reference,oldest_external_reference_author,oldest_external_reference_date,textual_notes,conservative_notes,source_notes,status
NAM,Nahum,34,OT,Nahum,Nahum,"The book names Nahum the Elkoshite and is received as his prophecy.","No direct NT attribution names the writer, but Nahum's oracle against Nineveh stands in the prophetic canon as genuine revelation.",7th century BC before Nineveh's fall in 612 BC,"MT chronology places Nahum in the late Assyrian period after Thebes and before Nineveh's fall.","The LXX preserves the same Assyrian setting with normal versional variation.","Oracle announcing Nineveh's downfall and comfort for Judah.","To proclaim the LORD's justice against oppressive empire and comfort for His people.","judgment; justice; Nineveh; comfort; divine vengeance","The LORD's majesty 1; Nineveh's siege and fall 2-3.","Qumran Nahum pesher and fragments survive",Second Temple period,"The Nahum pesher provides important early reception evidence alongside Hebrew fragments",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Nahum",4th-5th century AD,"Qumran Nahum Pesher",Community at Qumran,1st century BC,"Nahum is notable not only for text but also for early interpretive reception in the pesher tradition.","This edition receives Nahum as a true historical oracle of judgment and comfort, not merely anti-Assyrian rhetoric.","Qumran Nahum Pesher resources; codex catalogues.",draft
HAB,Habakkuk,35,OT,Habakkuk,Habakkuk,"The book names Habakkuk and is received as his prophetic dialogue and prayer.","Romans 1:17, Galatians 3:11, and Hebrews 10:38 quote Habakkuk 2:4.",late 7th century BC,"MT chronology places Habakkuk on the eve of Babylonian judgment.","The LXX preserves the same setting and is crucial at Habakkuk 2:4 and other quotation points.","Dialogue of a prophet wrestling with violence, Babylon, and the righteous life of faith.","To answer the problem of unchecked evil by revealing God's sovereign justice and calling the righteous to live by faith.","faith; judgment; Babylon; theodicy; waiting; worship","Dialogue 1-2; Prayer and hymn 3.","Qumran Habakkuk Pesher and fragments survive",Second Temple period,"The Habakkuk Pesher is a major early witness to reception, alongside Hebrew fragments",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Habakkuk",4th-5th century AD,"Explicit NT quotation and Qumran pesher",Paul and the Qumran community,1st century AD and earlier,"Habakkuk is major for NT theology because Habakkuk 2:4 is cited repeatedly, and MT/LXX wording affects doctrinal emphasis.","This edition receives Habakkuk as the named prophet and sees the faith text as central to biblical theology without detaching it from its historical context.","Romans 1:17; Galatians 3:11; Hebrews 10:38; Qumran Habakkuk Pesher.",draft
ZEP,Zephaniah,36,OT,Zephaniah,Zephaniah,"The book names Zephaniah son of Cushi with royal lineage details and is received as his prophecy.","No direct NT attribution names the writer, but Zephaniah belongs to the authenticated prophetic corpus.",late 7th century BC in Josiah's days,"MT chronology places Zephaniah in Josiah's reign before the reform fully took hold.","The LXX preserves the same pre-exilic setting and message of the day of the LORD.","Judah-focused prophecy of the coming day of the LORD, judgment, and purified restoration.","To warn of the coming day of the LORD and promise a purified remnant and restored worship.","day of the LORD; remnant; judgment; restoration; humility","Judgment on Judah and nations 1-2; Woe and restoration 3.","Qumran Zephaniah fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Zephaniah",4th-5th century AD,"Use in later prophetic interpretation",Multiple,later biblical and post-biblical reception,"Zephaniah's compact structure makes its day-of-the-LORD theology especially important for intertextual study.","This edition receives Zephaniah as the named prophet in Josiah's era and reads its warnings and promises as historically grounded prophecy.","Qumran minor prophets materials; codex catalogues.",draft
HAG,Haggai,37,OT,Haggai,Haggai,"The book names Haggai and dates its oracles precisely in the Persian period.","Ezra 5-6 confirms Haggai's prophetic role in the rebuilding era.",520 BC,"MT chronology places Haggai during the second year of Darius I amid temple rebuilding.","The LXX preserves the same precisely dated post-exilic setting.","Short post-exilic prophecy urging temple rebuilding and covenant priority.","To call the restored community to rebuild the temple and expect future glory.","temple; obedience; covenant priorities; latter glory; Zerubbabel","Calls to rebuild 1; Promise of future glory and covenant blessing 2.","Qumran Haggai fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Haggai",4th-5th century AD,"Corroborated by Ezra's narrative",Ezra,Persian period narrative and later canon,"Haggai is textually modest but historically valuable because of its precise dates and integration with Ezra.","This edition receives Haggai as precisely dated prophetic preaching in the restoration era.","Ezra 5-6; Qumran minor prophets materials; codex catalogues.",draft
ZEC,Zechariah,38,OT,Zechariah,Zechariah son of Berechiah son of Iddo,"The book names Zechariah and dates much of its material in the Persian period; conservative scholarship typically receives the whole canonical book as Zechariah's prophecy.","Jesus refers to Zechariah son of Berechiah in Matthew 23:35.",520-518 BC and after,"MT chronology places Zechariah alongside Haggai in the restoration era, with later oracles extending beyond the initial temple work.","The LXX preserves the same restoration-era framework, though the later chapters remain important for messianic quotation and textual study.","Post-exilic visions and oracles encouraging restoration and projecting messianic hope.","To encourage the restored community, call for repentance, and announce the coming king, shepherd, and future kingdom.","visions; repentance; messianic king; shepherd; temple; future kingdom","Night visions 1-6; Fasting and renewal 7-8; Messianic and eschatological oracles 9-14.","Qumran Zechariah fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Zechariah",4th-5th century AD,"Quoted/alluded to heavily in the NT",Multiple,1st century AD,"Zechariah is a major messianic quotation book, especially chapters 9-14, making MT/LXX comparison important in the passion narratives.","This edition receives Zechariah as the prophet named in the book and reads the later chapters as genuine predictive prophecy, not late anonymous additions.","Matthew 23:35; NT passion citations; Qumran minor prophets materials.",draft
MAL,Malachi,39,OT,Malachi,Malachi,"The book identifies its burden through Malachi, understood conservatively as the prophet's name or title borne by the human messenger.","No direct NT attribution names the writer, but Malachi's prophecy of the forerunner is foundational in the Gospels.",5th century BC,"MT chronology places Malachi in the late post-exilic period after temple restoration but before the intertestamental silence.","The LXX preserves the same post-exilic setting and the same key promises about the forerunner and day of the LORD.","Post-exilic rebuke of priestly corruption, covenant unfaithfulness, and spiritual weariness.","To call God's people to covenant faithfulness and announce the coming messenger before the day of the LORD.","covenant faithfulness; priesthood; tithes; divorce; forerunner; day of the LORD","Disputations 1-3; Closing warning and Elijah promise 4.","Qumran Malachi fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Malachi",4th-5th century AD,"Interpreted in the Gospels as fulfilled in John the Baptist",Jesus and Gospel writers,1st century AD,"Malachi is vital for intertestamental framing because its forerunner promise is directly tied to John the Baptist in the NT.","This edition receives Malachi as the closing prophetic voice of the OT canon, genuinely predicting the messenger fulfilled in John the Baptist.","Gospel citations/allusions; Qumran minor prophets materials; codex catalogues.",draft
MAT,Matthew,40,NT,Matthew,Matthew the apostle and former tax collector,"Early church testimony, especially Papias and Irenaeus, associates this Gospel with Matthew.","The canonical title and unanimous early church witness support Matthean authorship; apostolic status fits the book's Jewish and instructional character.",before AD 70 in common conservative dating,"MT timeline not applicable; historically set in the earthly ministry of Christ before the fall of Jerusalem.","LXX timeline not applicable; the Gospel quotes the OT often in forms reflecting both Hebrew and Greek textual streams.","Gospel account presenting Jesus as the promised Messiah and King in fulfillment of Scripture.","To present Jesus as the Messiah, teacher, son of David, and fulfillment of the Law and the Prophets.","Messiah; kingdom; fulfillment; discipleship; judgment; church","Narrative and infancy 1-4; ministry and discourses 5-25; passion and resurrection 26-28.","Papyrus 104",late 2nd century AD,"Papyrus 64/67 and other early Matthew witnesses preserve larger sections",late 2nd to early 3rd century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek Matthew",4th century AD,"Tradition on Matthew's composition",Papias,early 2nd century AD,"Matthew's quotations are crucial for MT/LXX comparison because he often cites OT texts in forms close to Hebrew, Greek, or a mixed testimony tradition.","This edition receives Matthew as the apostolic Gospel and treats its fulfillment formulas as inspired interpretation of the OT.","Papias fragments via Eusebius; Irenaeus; major NT papyri catalogues.",draft
MRK,Mark,41,NT,Mark,John Mark under Petrine apostolic oversight,"Early church testimony consistently links Mark with Peter's preaching, especially in Papias and Irenaeus.","Mark's close Petrine perspective and unanimous patristic witness support traditional authorship.",before AD 70 in common conservative dating,"Not applicable as a textual tradition label; historically the Gospel narrates Christ's ministry in Roman-facing concise form.","Not applicable; Mark's OT citations still bear on Hebrew and Greek quotation study.","Fast-paced Gospel emphasizing Christ's authority, suffering, and servant ministry.","To present Jesus as the mighty Son of God and suffering servant and to call readers to discipleship under the cross.","authority; Son of God; suffering servant; discipleship; immediacy","Introduction and Galilean ministry 1-8; journey and passion teaching 8-13; passion and resurrection 14-16.","No very early tiny fragment is universally agreed; Papyrus 137 is one candidate",2nd-3rd century AD,"Papyrus 45 is the earliest substantial Mark witness",3rd century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek Mark",4th century AD,"Tradition on Mark as Peter's interpreter",Papias,early 2nd century AD,"Mark's ending and several shorter textual problems make it one of the key NT books for text-critical discussion.","This edition receives Mark as the authentic Gospel of John Mark rooted in apostolic Petrine preaching.","Papias via Eusebius; Irenaeus; NT papyri catalogues.",draft
LUK,Luke,42,NT,Luke,Luke the beloved physician and companion of Paul,"The prologue, Acts' we-sections, and unanimous early church testimony support Lucan authorship.","Colossians 4:14, 2 Timothy 4:11, and Philemon 24 identify Luke as Paul's coworker, fitting the Gospel-Acts corpus.",AD 60-62 in common conservative dating,Not applicable,Not applicable,"Orderly Gospel narrative addressed to Theophilus, rooted in eyewitness testimony and careful investigation.","To give certainty about the things fulfilled in Christ and to present the Savior for Jew and Gentile alike.","certainty; salvation; compassion; Holy Spirit; prayer; Gentiles","Infancy and preparation 1-4; Galilean ministry 4-9; travel narrative 9-19; Jerusalem, passion, resurrection 19-24.","Papyrus 4 and Papyrus 75 preserve early Luke material",late 2nd to early 3rd century AD,"Papyrus 75 is the earliest substantial Luke witness",late 2nd to early 3rd century AD,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Luke",4th century AD,"Likely early use in apostolic fathers; clear attestation in Irenaeus",Irenaeus,late 2nd century AD,"Luke's wording matters for several OT quotations and for the relation of Luke and Acts to early text families.","This edition receives Luke as the physician-companion of Paul and the faithful historian-theologian of the Gospel and Acts.","Luke 1:1-4; Pauline coworker texts; papyri catalogues; Irenaeus.",draft
JHN,John,43,NT,John,John the apostle,"Early church testimony strongly attributes the Gospel to John the son of Zebedee, and the internal beloved-disciple claim fits apostolic authorship.","John 21:24 identifies the disciple behind the testimony; early church witness connects this with the apostle John.",AD 80-90 in common conservative dating,Not applicable,Not applicable,"Reflective Gospel centered on Jesus' signs, identity, and saving purpose.","To lead readers to believe that Jesus is the Christ, the Son of God, and to have life in His name.","signs; deity of Christ; belief; life; witness; love","Prologue 1; book of signs 2-12; book of glory 13-20; epilogue 21.","Papyrus 52",early 2nd century AD,"Papyrus 66 is the earliest substantial John witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek John",4th century AD,"Likely early allusion in Ignatius; clear attestation in Irenaeus",Irenaeus,late 2nd century AD,"John is text-critically important at several famous loci, but its early papyrus attestation is exceptionally strong.","This edition receives John's high Christology as apostolic eyewitness testimony, not as a late theological invention.","P52 and P66 catalogues; Irenaeus; John 21:24.",draft
ACT,Acts,44,NT,Acts,Luke,"Acts continues Luke's account to the same addressee and shares style, vocabulary, and perspective with the Gospel.","The we-sections and early church tradition support Luke as the author of Acts.",AD 62 or shortly after in common conservative dating,Not applicable,Not applicable,"Historical account of the risen Christ's work by the Spirit through the apostles from Jerusalem to Rome.","To narrate the spread of the gospel, the formation of the church, and the mission to the nations under the Spirit's power.","Holy Spirit; mission; church; apostolic witness; Jew and Gentile; providence","Jerusalem witness 1-7; Judea and Samaria 8-12; Gentile mission to Rome 13-28.","Papyrus 29 and Papyrus 38 are early small witnesses; Papyrus 45 is substantial",3rd century AD,"Papyrus 45 is the earliest substantial Acts witness",3rd century AD,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Acts",4th century AD,"Clear early attestation in Irenaeus and Muratorian tradition",Irenaeus,late 2nd century AD,"Acts is central for text criticism because the Alexandrian and Western forms differ at many points.","This edition receives Acts as accurate sacred history written by Luke under inspiration.","Lucan prologue connection; Irenaeus; papyri catalogues.",draft
ROM,Romans,45,NT,Romans,Paul the apostle,"The opening identifies Paul, and the church has always received Romans as Pauline.","The book explicitly names Paul and coheres with Acts and the Pauline corpus.",AD 56-57 from Corinth,Not applicable,Not applicable,"Paul's fullest doctrinal letter, written to the believers in Rome before his visit there.","To set forth the righteousness of God in the gospel and unify Jew and Gentile believers in Christ.","righteousness; justification; union with Christ; Israel; sanctification; gospel","Guilt and justification 1-5; sanctification 6-8; Israel and God's plan 9-11; practical exhortation 12-16.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial Romans witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Romans",4th century AD,"Likely echoed in 1 Clement",Clement of Rome,late 1st century AD,"Romans is textually well attested and theologically central, with some variation in closing doxology placement.","This edition receives Romans as Paul's Spirit-inspired magisterial exposition of the gospel.","Romans 1:1; P46; 1 Clement parallels.",draft
1CO,1 Corinthians,46,NT,1 Corinthians,Paul the apostle,"The opening identifies Paul, and the church has always received 1 Corinthians as Pauline.","The book explicitly names Paul and coheres with Acts' Corinthian setting.",AD 54-55 from Ephesus,Not applicable,Not applicable,"Pastoral and doctrinal letter addressing a troubled but gifted church in Corinth.","To correct disorder, answer questions, and re-center the church on Christ crucified and risen.","church order; holiness; resurrection; gifts; love; discipline","Divisions and wisdom 1-4; moral and practical issues 5-11; gifts and worship 12-14; resurrection 15; closing 16.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial 1 Corinthians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek 1 Corinthians",4th century AD,"Extensively echoed by Clement of Rome",Clement of Rome,late 1st century AD,"1 Corinthians is early and strongly attested, making it a major control point for Pauline text.","This edition receives 1 Corinthians as direct apostolic correction for a real first-century church.","P46; 1 Clement.",draft
2CO,2 Corinthians,47,NT,2 Corinthians,Paul the apostle,"The opening identifies Paul, and the church has always received 2 Corinthians as Pauline.","The personal, travel, and conflict material fits Paul in Acts and the wider Pauline corpus.",AD 55-56 from Macedonia,Not applicable,Not applicable,"Paul's deeply personal defense of his ministry and appeal to the Corinthians.","To reconcile with the church, defend apostolic ministry, and display Christ's strength in weakness.","apostolic ministry; weakness; comfort; generosity; reconciliation","Ministry and comfort 1-7; collection 8-9; defense against opponents 10-13.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial 2 Corinthians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek 2 Corinthians",4th century AD,"Likely echoed in early Christian correspondence",Polycarp or Clement,late 1st to early 2nd century AD,"2 Corinthians' unity is debated by some, but conservative scholarship receives the canonical letter as Pauline and coherent.","This edition receives 2 Corinthians as authentic apostolic self-disclosure under inspiration.","P46; early patristic echoes.",draft
GAL,Galatians,48,NT,Galatians,Paul the apostle,"The opening identifies Paul, and the church has always received Galatians as Pauline.","Paul's autobiographical defense and doctrinal argument fit the apostolic controversy reflected in Acts.",AD 48-49 or 54-55 depending on destination theory,Not applicable,Not applicable,"Polemic letter against justification by works of the law and for freedom in Christ.","To defend the true gospel of justification by faith and the Spirit's transforming work.","justification; law and gospel; promise; Spirit; liberty","Apostolic defense 1-2; doctrinal argument 3-4; practical freedom 5-6.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial Galatians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Galatians",4th century AD,"Likely echoed in Polycarp and later fathers",Polycarp,early 2nd century AD,"Galatians is important for text-critical and doctrinal comparison because of its central soteriological language.","This edition receives Galatians as authentic Pauline controversy literature defending the once-for-all apostolic gospel.","P46; Polycarp parallels.",draft
EPH,Ephesians,49,NT,Ephesians,Paul the apostle,"The opening identifies Paul, and conservative scholarship receives the letter as Pauline, whether or not intended as a circular letter.","Traditional church reception strongly supports Pauline authorship.",AD 60-62 during Roman imprisonment,Not applicable,Not applicable,"Prison epistle celebrating Christ's cosmic headship and the church's unity.","To unfold the believer's blessings in Christ and call the church to unity, holiness, and spiritual warfare.","union with Christ; church; grace; unity; holiness; armor of God","Blessings and prayer 1-3; worthy walk 4-6.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial Ephesians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Ephesians",4th century AD,"Likely echoed in Ignatius",Ignatius,early 2nd century AD,"Ephesians has some textual discussion around the address line and a few wording issues, but is strongly attested.","This edition receives Ephesians as Pauline and fully apostolic in doctrine and exhortation.","P46; Ignatius parallels.",draft
PHP,Philippians,50,NT,Philippians,Paul the apostle,"The opening identifies Paul, and the church has always received Philippians as Pauline.","Its prison setting, coworkers, and warm personal tone fit Paul well.",AD 60-62 during Roman imprisonment,Not applicable,Not applicable,"Warm prison letter to a faithful supporting church.","To thank the Philippians, encourage joy and unity, and exalt Christ's humiliation and exaltation.","joy; humility; Christ hymn; perseverance; partnership","Thanksgiving and prayer 1; Christlike humility 2; warning and goal 3; peace and gratitude 4.","Papyrus 16 and Papyrus 46 witness Philippians",ca. AD 200,"Papyrus 46 is the earliest substantial Philippians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Philippians",4th century AD,"Likely echoed in Polycarp",Polycarp,early 2nd century AD,"Philippians is early and well attested, with no major textual instability compared with some other books.","This edition receives Philippians as authentic Pauline prison correspondence.","P46; Polycarp.",draft
COL,Colossians,51,NT,Colossians,Paul the apostle,"The opening identifies Paul, and conservative scholarship receives Colossians as Pauline.","Its links to Philemon and the prison setting support traditional authorship.",AD 60-62 during Roman imprisonment,Not applicable,Not applicable,"Prison epistle magnifying Christ's supremacy over all powers and urging holy living.","To combat false teaching by exalting the all-sufficient Christ and calling believers to walk in Him.","supremacy of Christ; new creation; holiness; fullness; church","Supremacy and reconciliation 1-2; new life and household order 3-4.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial Colossians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Colossians",4th century AD,"Likely echoed in Ignatius and Polycarp",Ignatius and Polycarp,early 2nd century AD,"Colossians is textually stable overall and closely linked to Philemon for historical setting.","This edition receives Colossians as authentic Pauline prison teaching centered on Christ's supremacy.","P46; Ignatius; Polycarp.",draft
1TH,1 Thessalonians,52,NT,1 Thessalonians,Paul the apostle,"The opening identifies Paul, and the church has always received 1 Thessalonians as Pauline.","It fits the Acts 17-18 setting and early apostolic mission period.",AD 50-51 from Corinth,Not applicable,Not applicable,"One of Paul's earliest letters, written to a young persecuted church.","To encourage steadfastness, holiness, brotherly love, and hope in Christ's return.","sanctification; hope; second coming; persecution; work","Thanksgiving and defense 1-3; holy living and the Lord's coming 4-5.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial 1 Thessalonians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek 1 Thessalonians",4th century AD,"Likely early echoes in Ignatius and Polycarp",Ignatius and Polycarp,early 2nd century AD,"1 Thessalonians is early and textually strong, with eschatological passages especially important for apparatus work.","This edition receives 1 Thessalonians as among Paul's earliest surviving apostolic letters.","P46; early patristic echoes.",draft
2TH,2 Thessalonians,53,NT,2 Thessalonians,Paul the apostle,"The opening identifies Paul, and conservative scholarship receives 2 Thessalonians as Pauline.","Its close relationship to 1 Thessalonians and its apostolic tone support authenticity.",AD 51-52 from Corinth,Not applicable,Not applicable,"Follow-up letter correcting confusion about the day of the Lord and urging steadfastness.","To steady the church amid persecution and clarify events connected with the Lord's return.","day of the Lord; lawlessness; perseverance; discipline","Persecution and justice 1; man of lawlessness 2; exhortation and discipline 3.","Papyrus 30 and Papyrus 46 witness 2 Thessalonians",3rd century AD and ca. AD 200,"Papyrus 46 is the earliest substantial 2 Thessalonians witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek 2 Thessalonians",4th century AD,"Likely echoed in early fathers",Polycarp,early 2nd century AD,"2 Thessalonians is central in eschatological discussion and textually well attested.","This edition receives 2 Thessalonians as Pauline clarification, not pseudonymous imitation.","P46; Polycarp parallels.",draft
1TI,1 Timothy,54,NT,1 Timothy,Paul the apostle,"The opening identifies Paul, and conservative scholarship receives the Pastoral Epistles as Pauline.","The letter's personal address, church-order concerns, and later travel setting fit traditional Pauline chronology.",mid-60s AD,Not applicable,Not applicable,"Pastoral instruction to Timothy for ordering doctrine and life in the Ephesian sphere.","To guard sound doctrine, shape church leadership, and call believers to godliness.","church order; sound doctrine; eldership; godliness; warning against error","Charge and doctrine 1; worship and leadership 2-3; warning and exhortation 4-6.","Papyrus 133 is an early fragment; later majuscules preserve the full book",3rd century AD,"No papyrus as substantial as P46 survives for 1 Timothy; major uncials are primary full witnesses",n/a,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Alexandrinus preserve complete Greek 1 Timothy",4th-5th century AD,"Likely echoed in Polycarp",Polycarp,early 2nd century AD,"The Pastorals have different witness patterns from the major Pauline collection, but remain textually secure in the broad sense.","This edition receives 1 Timothy as authentic Pauline pastoral instruction.","Polycarp parallels; major uncial catalogues.",draft
2TI,2 Timothy,55,NT,2 Timothy,Paul the apostle,"The opening identifies Paul, and conservative scholarship receives it as Paul's final surviving letter.","Its personal tone, martyrdom horizon, and coworker references suit Paul's last imprisonment.",AD 66-67 from Rome,Not applicable,Not applicable,"Final apostolic charge to Timothy in view of suffering and death.","To summon Timothy to faithful ministry, endurance, and preservation of the apostolic deposit.","endurance; Scripture; ministry; apostasy; martyrdom","Guard the deposit 1; endure as a soldier 2; perilous times 3; final charge 4.","Papyrus 61 and other small witnesses survive; full text rests mainly in uncials",3rd-4th century AD,"Major uncials preserve the earliest substantial 2 Timothy text",4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Alexandrinus preserve complete Greek 2 Timothy",4th-5th century AD,"Likely echoed in Polycarp and later fathers",Polycarp,early 2nd century AD,"2 Timothy contains key statements on Scripture and ministry and is well preserved in the main textual tradition.","This edition receives 2 Timothy as Paul's final inspired testament to the church.","Polycarp parallels; major uncial catalogues.",draft
TIT,Titus,56,NT,Titus,Paul the apostle,"The opening identifies Paul, and conservative scholarship receives Titus as Pauline.","Its personal directions and pastoral instruction fit the same post-Acts missionary horizon as 1 Timothy.",mid-60s AD,Not applicable,Not applicable,"Pastoral letter for church order and godly living in Crete.","To establish qualified leadership, oppose false teachers, and adorn the doctrine of God with good works.","leadership; good works; sound doctrine; grace; order","Leadership and rebuke 1; fitting conduct 2; grace and good works 3.","Papyrus 32 preserves a small early Titus witness",3rd century AD,"Major uncials preserve the earliest substantial Titus text",4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Alexandrinus preserve complete Greek Titus",4th-5th century AD,"Likely echoed in early fathers",Clement of Alexandria or later fathers,late 2nd century AD,"Titus is textually stable overall and closely linked to the Pastoral corpus.","This edition receives Titus as authentic Pauline pastoral direction.","Papyrus catalogues; major uncials.",draft
PHM,Philemon,57,NT,Philemon,Paul the apostle,"The opening identifies Paul, and the church has always received Philemon as Pauline.","Its close ties to Colossians and concrete personal details strongly support authenticity.",AD 60-62 during Roman imprisonment,Not applicable,Not applicable,"Brief personal prison letter appealing for Onesimus's reception.","To embody gospel reconciliation and brotherhood in Christ in a concrete case.","reconciliation; brotherhood; grace; appeal; slavery and freedom in Christ","Opening and thanksgiving 1-7; appeal for Onesimus 8-25.","Papyrus 87 preserves a small early Philemon witness",3rd century AD,"Major uncials preserve the earliest substantial Philemon text",4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Alexandrinus preserve complete Greek Philemon",4th-5th century AD,"Likely known in early Pauline reception",Marcion or later fathers,2nd century AD,"Philemon is short and comparatively stable textually, but historically valuable for the Pauline network.","This edition receives Philemon as authentic Pauline personal correspondence under inspiration.","Papyrus catalogues; Pauline corpus reception history.",draft
HEB,Hebrews,58,NT,Hebrews,Unknown human writer; conservative options often include Paul, Luke, Barnabas, or Apollos,"The church received Hebrews as canonical and apostolic in doctrine, though the human penman remains uncertain.","2 Peter 3:15 may possibly allude to Pauline teaching received alongside Hebrews, but the book itself is anonymous.",before AD 70 in common conservative dating,Not applicable,Not applicable,"Sustained sermon-letter exalting Christ's superiority and warning against apostasy.","To show the finality of Christ's priesthood and covenant and to call believers to persevering faith.","superiority of Christ; priesthood; covenant; perseverance; faith","Christ superior 1-10; persevering faith and exhortation 11-13.","Papyrus 46",ca. AD 200,"Papyrus 46 is the earliest substantial Hebrews witness",ca. AD 200,"No complete Hebrew original survives",n/a,"Codex Vaticanus and Codex Sinaiticus preserve complete Greek Hebrews",4th century AD,"Clearly used by Clement of Rome",Clement of Rome,late 1st century AD,"Hebrews is early and strongly attested; debates concern human authorship more than canonicity or textual preservation.","This edition affirms the book's full inspiration and inerrancy regardless of the anonymity of the human penman.","P46; Clement of Rome; Hebrews introductions.",draft
JAS,James,59,NT,James,James the brother of the Lord,"The letter names James, and conservative scholarship receives it as written by James the Lord's brother, leader of the Jerusalem church.","Acts 15 and Galatians 1-2 establish James's authority and profile consistent with the epistle.",mid-40s to early 60s AD,Not applicable,Not applicable,"Practical wisdom epistle addressing scattered believers under trial.","To call believers to steadfastness, whole-hearted obedience, bridled speech, and living faith.","trials; wisdom; faith and works; speech; worldliness; prayer","Trials and wisdom 1; impartiality and living faith 2; speech and wisdom 3; worldliness and humility 4; endurance and prayer 5.","Papyrus 20 and Papyrus 23 preserve early James fragments",3rd century AD,"Major uncials preserve the earliest substantial James text",4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek James",4th century AD,"Likely early allusions in 1 Clement and Shepherd of Hermas; clear later attestation",Origen or earlier echoes,2nd-3rd century AD,"James is comparatively late in explicit patristic attestation but textually secure in the received Greek tradition.","This edition receives James as the epistle of the Lord's brother and not as a later pseudonymous moral tract.","Papyrus catalogues; Acts 15; James introductions.",draft
