ref,book_code,book_name,chapter,verse,review_status,importance,priority_score,themes,keyword_hits,same_normalized,tr_literal_translation,ukjv_translation,review_notes,reasons,decision
Acts 21:25,ACT,Acts,21,25,tr_literal_pass1,medium,14,anthropology_ethics; soteriology,anthropology_ethics:sexual immorality; soteriology:believe; soteriology:blood; soteriology:save,no,"As concerning the Gentiles which believe, we have written and concluded that they observe no such thing, save only that they keep themselves from things offered to idols, and from blood, and from strangled, and from sexual immorality.","As concerning the Gentiles which believe, we have written and concluded that they observe no such thing, save only that they keep themselves from things offered to idols, and from blood, and from strangled, and from fornication.",modernized porneia wording,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 21:28,ACT,Acts,21,28,needs_focused_tr_review,high,14,law_covenant,law_covenant:israel; law_covenant:law,yes,"Crying out, Men of Israel, help: This is the man, that teaches all men every where against the people, and the law, and this place: and further brought Greeks also into the temple, and has polluted this holy place.","Crying out, Men of Israel, help: This is the man, that teaches all men every where against the people, and the law, and this place: and further brought Greeks also into the temple, and has polluted this holy place.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 22:8,ACT,Acts,22,8,tr_literal_pass1,medium,14,christology,christology:jesus; christology:lord,no,"And I answered, Who are you, Lord? And he said to me, I am Jesus of Nazareth, whom you persecute.","And I answered, Who are you, Lord? And he said unto me, I am Jesus of Nazareth, whom you persecute.",modernized archaic directional unto; normalized NT kurios as Lord,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 23:29,ACT,Acts,23,29,needs_focused_tr_review,high,14,judgment_afterlife; law_covenant,judgment_afterlife:death; law_covenant:law,yes,"Whom I perceived to be accused of questions of their law, but to have nothing laid to his charge worthy of death or of bonds.","Whom I perceived to be accused of questions of their law, but to have nothing laid to his charge worthy of death or of bonds.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 24:15,ACT,Acts,24,15,needs_focused_tr_review,high,14,anthropology_ethics; soteriology,anthropology_ethics:hope; soteriology:resurrection,yes,"And have hope toward God, which they themselves also allow, that there shall be a resurrection of the dead, both of the just and unjust.","And have hope toward God, which they themselves also allow, that there shall be a resurrection of the dead, both of the just and unjust.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 24:24,ACT,Acts,24,24,needs_focused_tr_review,high,14,christology; soteriology,christology:christ; soteriology:faith,yes,"And after certain days, when Felix came with his wife Drusilla, which was a Jewess, he sent for Paul, and heard him concerning the faith in Christ.","And after certain days, when Felix came with his wife Drusilla, which was a Jewess, he sent for Paul, and heard him concerning the faith in Christ.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 24:25,ACT,Acts,24,25,needs_focused_tr_review,high,14,judgment_afterlife; soteriology,judgment_afterlife:judgment; soteriology:righteousness,yes,"And as he reasoned of righteousness, wilful restrain, and judgment to come, Felix trembled, and answered, Go your way for this time; when I have a convenient season, I will call for you.","And as he reasoned of righteousness, wilful restrain, and judgment to come, Felix trembled, and answered, Go your way for this time; when I have a convenient season, I will call for you.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 25:26,ACT,Acts,25,26,tr_literal_pass1,medium,14,christology,christology:king; christology:lord,no,"Of whom I have no certain thing to write to my Lord. Therefore I have brought him forth before you, and specially before you, O king Agrippa, that, after examination had, I might have somewhat to write.","Of whom I have no certain thing to write unto my lord. Wherefore I have brought him forth before you, and specially before you, O king Agrippa, that, after examination had, I might have somewhat to write.",modernized archaic directional unto; modernized wherefore; normalized NT kurios as Lord,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 26:27,ACT,Acts,26,27,needs_focused_tr_review,high,14,christology; soteriology,christology:king; soteriology:believe,yes,"King Agrippa, believe you the prophets? I know that you believe.","King Agrippa, believe you the prophets? I know that you believe.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 27:20,ACT,Acts,27,20,needs_focused_tr_review,high,14,anthropology_ethics; soteriology,anthropology_ethics:hope; soteriology:saved,yes,"And when neither sun nor stars in many days appeared, and no small tempest lay on us, all hope that we should be saved was then taken away.","And when neither sun nor stars in many days appeared, and no small tempest lay on us, all hope that we should be saved was then taken away.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 28:20,ACT,Acts,28,20,needs_focused_tr_review,high,14,anthropology_ethics; law_covenant,anthropology_ethics:hope; law_covenant:israel,yes,"For this cause therefore have I called for you, to see you, and to speak with you: because that for the hope of Israel I am bound with this chain.","For this cause therefore have I called for you, to see you, and to speak with you: because that for the hope of Israel I am bound with this chain.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 28:23,ACT,Acts,28,23,needs_focused_tr_review,high,14,christology; law_covenant,christology:jesus; law_covenant:law,yes,"And when they had appointed him a day, there came many to him into his lodging; to whom he expounded and testified the kingdom of God, persuading them concerning Jesus, both out of the law of Moses, and out of the prophets, from morning till evening.","And when they had appointed him a day, there came many to him into his lodging; to whom he expounded and testified the kingdom of God, persuading them concerning Jesus, both out of the law of Moses, and out of the prophets, from morning till evening.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Acts 28:25,ACT,Acts,28,25,tr_literal_pass1,medium,14,christology; spirit_church,christology:word; spirit_church:holy spirit; spirit_church:prophet; spirit_church:spirit,no,"And when they agreed not among themselves, they departed, after that Paul had spoken one word, Well spoke the Holy Spirit by Isaiah the prophet to our fathers,","And when they agreed not among themselves, they departed, after that Paul had spoken one word, (o. rhema) Well spoke the Holy Spirit (o. pneuma) by Isaiah the prophet unto our fathers,",modernized archaic directional unto; removed UKJV inline Strong-style lexical marker,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Colossians 1:4,COL,Colossians,1,4,tr_literal_pass1,medium,14,anthropology_ethics; christology; soteriology,anthropology_ethics:love; christology:christ; christology:jesus; soteriology:faith,no,"Since we heard of your faith in Christ Jesus, and of the love which you have to all the holy ones,","Since we heard of your faith in Christ Jesus, and of the (o. agape) love which all of you have to all the saints,",removed UKJV inline Strong-style lexical marker; removed UKJV plural-expansion artifact; rendered hagioi as holy ones,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Colossians 1:27,COL,Colossians,1,27,needs_focused_tr_review,high,14,anthropology_ethics; christology,anthropology_ethics:hope; christology:christ,yes,"To whom God would make known what is the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:","To whom God would make known what is the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Colossians 1:28,COL,Colossians,1,28,needs_focused_tr_review,high,14,christology,christology:christ; christology:jesus,yes,"Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus:","Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus:",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Colossians 2:5,COL,Colossians,2,5,tr_literal_pass1,medium,14,anthropology_ethics; christology; soteriology; spirit_church,anthropology_ethics:flesh; christology:christ; soteriology:faith; spirit_church:spirit,no,"For though I be absent in the flesh, yet am I with you in the spirit, rejoicing and beholding your order, and the steadfastness of your faith in Christ.","For though I be absent in the flesh, yet am I with you in the (o. pneuma) spirit, rejoicing and beholding your order, and the steadfastness of your faith in Christ.",removed UKJV inline Strong-style lexical marker,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Colossians 2:11,COL,Colossians,2,11,tr_literal_pass1,medium,14,anthropology_ethics; christology; law_covenant,anthropology_ethics:body; anthropology_ethics:flesh; christology:christ; law_covenant:circumcision,no,"In whom also you are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh by the circumcision of Christ:","In whom also all of you are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh by the circumcision of Christ:",removed UKJV plural-expansion artifact,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Colossians 2:17,COL,Colossians,2,17,needs_focused_tr_review,high,14,anthropology_ethics; christology,anthropology_ethics:body; christology:christ,yes,Which are a shadow of things to come; but the body is of Christ.,Which are a shadow of things to come; but the body is of Christ.,UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Colossians 3:24,COL,Colossians,3,24,tr_literal_pass1,medium,14,christology,christology:christ; christology:lord,no,Knowing that of the Lord you shall receive the reward of the inheritance: for you serve the Lord Christ.,Knowing that of the Lord all of you shall receive the reward of the inheritance: for all of you serve the Lord Christ.,normalized NT kurios as Lord; removed UKJV plural-expansion artifact,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Colossians 4:18,COL,Colossians,4,18,needs_focused_tr_review,high,14,soteriology; textual_literal,soteriology:grace; textual_literal:amen,yes,The salutation by the hand of me Paul. Remember my bonds. Grace be with you. Amen.,The salutation by the hand of me Paul. Remember my bonds. Grace be with you. Amen.,UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 1:20,EPH,Ephesians,1,20,needs_focused_tr_review,high,14,christology; soteriology,christology:christ; soteriology:raised,yes,"Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,","Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 2:12,EPH,Ephesians,2,12,tr_literal_pass1,medium,14,anthropology_ethics; christology; law_covenant,anthropology_ethics:hope; christology:christ; law_covenant:israel; law_covenant:promise,no,"That at that time you were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:","That at that time all of you were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:",removed UKJV plural-expansion artifact,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Ephesians 2:20,EPH,Ephesians,2,20,needs_focused_tr_review,high,14,christology,christology:christ; christology:jesus,yes,"And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;","And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 3:1,EPH,Ephesians,3,1,needs_focused_tr_review,high,14,christology,christology:christ; christology:jesus,yes,"For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,","For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 3:9,EPH,Ephesians,3,9,needs_focused_tr_review,high,14,christology,christology:christ; christology:jesus,yes,"And to make all men see what is the fellowship of the mystery, which from the beginning of the world has been hid in God, who created all things by Jesus Christ:","And to make all men see what is the fellowship of the mystery, which from the beginning of the world has been hid in God, who created all things by Jesus Christ:",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 4:13,EPH,Ephesians,4,13,tr_literal_pass1,medium,14,christology; soteriology; textual_literal,christology:christ; christology:son of god; soteriology:faith; textual_literal:son,no,"Till we all come in the unity of the faith, and of the knowledge of the Son of God, to a perfect man, to the measure of the stature of the fullness of Christ:","Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fullness of Christ:",modernized archaic directional unto,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Ephesians 5:30,EPH,Ephesians,5,30,needs_focused_tr_review,high,14,anthropology_ethics,anthropology_ethics:body; anthropology_ethics:flesh,yes,"For we are members of his body, of his flesh, and of his bones.","For we are members of his body, of his flesh, and of his bones.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 6:2,EPH,Ephesians,6,2,needs_focused_tr_review,high,14,law_covenant,law_covenant:commandment; law_covenant:promise,yes,Honour your father and mother; which is the first commandment with promise;,Honour your father and mother; which is the first commandment with promise;,UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Ephesians 6:4,EPH,Ephesians,6,4,tr_literal_pass1,medium,14,christology; judgment_afterlife,christology:lord; judgment_afterlife:wrath,no,"And, you fathers, provoke not your children to wrath: but bring them up in the nurture and admonition of the Lord.","And, all of you fathers, provoke not your children to wrath: but bring them up in the nurture and admonition of the Lord.",normalized NT kurios as Lord; removed UKJV plural-expansion artifact,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Galatians 1:12,GAL,Galatians,1,12,needs_focused_tr_review,high,14,christology,christology:christ; christology:jesus,yes,"For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.","For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 2:17,GAL,Galatians,2,17,needs_focused_tr_review,high,14,anthropology_ethics; christology,anthropology_ethics:sin; christology:christ,yes,"But if, while we seek to be justified by Christ, we ourselves also are found sinners, is therefore Christ the minister of sin? God forbid.","But if, while we seek to be justified by Christ, we ourselves also are found sinners, is therefore Christ the minister of sin? God forbid.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 3:12,GAL,Galatians,3,12,needs_focused_tr_review,high,14,law_covenant; soteriology,law_covenant:law; soteriology:faith,yes,"And the law is not of faith: but, The man that does them shall live in them.","And the law is not of faith: but, The man that does them shall live in them.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 3:13,GAL,Galatians,3,13,needs_focused_tr_review,high,14,christology; law_covenant,christology:christ; law_covenant:law,yes,"Christ has redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangs on a tree:","Christ has redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangs on a tree:",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 3:16,GAL,Galatians,3,16,needs_focused_tr_review,high,14,christology; textual_literal,christology:christ; textual_literal:seed,yes,"Now to Abraham and his seed were the promises made. He says not, And to seeds, as of many; but as of one, And to your seed, which is Christ.","Now to Abraham and his seed were the promises made. He says not, And to seeds, as of many; but as of one, And to your seed, which is Christ.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 3:18,GAL,Galatians,3,18,needs_focused_tr_review,high,14,law_covenant,law_covenant:law; law_covenant:promise,yes,"For if the inheritance be of the law, it is no more of promise: but God gave it to Abraham by promise.","For if the inheritance be of the law, it is no more of promise: but God gave it to Abraham by promise.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 4:14,GAL,Galatians,4,14,tr_literal_pass1,medium,14,anthropology_ethics; christology; textual_literal,anthropology_ethics:flesh; christology:christ; christology:jesus; textual_literal:angel,no,"And my temptation which was in my flesh you despised not, nor rejected; but received me as an angel of God, even as Christ Jesus.","And my temptation which was in my flesh all of you despised not, nor rejected; but received me as an angel of God, even as Christ Jesus.",removed UKJV plural-expansion artifact,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Galatians 4:23,GAL,Galatians,4,23,needs_focused_tr_review,high,14,anthropology_ethics; law_covenant,anthropology_ethics:flesh; law_covenant:promise,yes,But he who was of the bondwoman was born after the flesh; but he of the freewoman was by promise.,But he who was of the bondwoman was born after the flesh; but he of the freewoman was by promise.,UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 4:30,GAL,Galatians,4,30,needs_focused_tr_review,high,14,law_covenant; textual_literal,law_covenant:scripture; textual_literal:son,yes,Nevertheless what says the scripture? Cast out the bondwoman and her son: for the son of the bondwoman shall not be heir with the son of the freewoman.,Nevertheless what says the scripture? Cast out the bondwoman and her son: for the son of the bondwoman shall not be heir with the son of the freewoman.,UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Galatians 5:5,GAL,Galatians,5,5,tr_literal_pass1,medium,14,anthropology_ethics; soteriology; spirit_church,anthropology_ethics:hope; soteriology:faith; soteriology:righteousness; spirit_church:spirit,no,For we through the Spirit wait for the hope of righteousness by faith.,For we through the Spirit (o. pneuma) wait for the hope of righteousness by faith.,removed UKJV inline Strong-style lexical marker,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Galatians 5:10,GAL,Galatians,5,10,tr_literal_pass1,medium,14,christology; judgment_afterlife,christology:lord; judgment_afterlife:judgment,no,"I have confidence in you through the Lord, that you will be none otherwise minded: but the one who troubles you shall bear his judgment, whoever he be.","I have confidence in you through the Lord, that all of you will be none otherwise minded: but he that troubles you shall bear his judgment, whosoever he be.",modernized he-that relative; modernized whosoever; normalized NT kurios as Lord; removed UKJV plural-expansion artifact,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Galatians 5:22,GAL,Galatians,5,22,tr_literal_pass1,medium,14,anthropology_ethics; soteriology; spirit_church,anthropology_ethics:love; anthropology_ethics:peace; soteriology:faith; spirit_church:spirit,no,"But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith,","But the fruit of the Spirit (o. pneuma) is love, (o. agape) joy, peace, longsuffering, gentleness, goodness, faith,",removed UKJV inline Strong-style lexical marker,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Galatians 6:13,GAL,Galatians,6,13,needs_focused_tr_review,high,14,anthropology_ethics; law_covenant,anthropology_ethics:flesh; law_covenant:law,yes,"For neither they themselves who are circumcised keep the law; but desire to have you circumcised, that they may glory in your flesh.","For neither they themselves who are circumcised keep the law; but desire to have you circumcised, that they may glory in your flesh.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 2:3,HEB,Hebrews,2,3,tr_literal_pass1,medium,14,christology; soteriology,christology:lord; soteriology:salvation,no,"How shall we escape, if we neglect so great salvation; which at the first began to be spoken by the Lord, and was confirmed to us by those who heard him;","How shall we escape, if we neglect so great salvation; which at the first began to be spoken by the Lord, and was confirmed unto us by them that heard him;",modernized archaic directional unto; modernized them-that relative; normalized NT kurios as Lord,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Hebrews 2:6,HEB,Hebrews,2,6,needs_focused_tr_review,high,14,christology; textual_literal,christology:son of man; textual_literal:son,yes,"But one in a certain place testified, saying, What is man, that you are mindful of him? or the son of man that you visit him?","But one in a certain place testified, saying, What is man, that you are mindful of him? or the son of man that you visit him?",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 2:14,HEB,Hebrews,2,14,tr_literal_pass1,medium,14,anthropology_ethics; judgment_afterlife; soteriology; textual_literal,anthropology_ethics:flesh; judgment_afterlife:death; soteriology:blood; textual_literal:devil,no,"Since then as the children are partakers of flesh and blood, he also himself likewise took part of the same; that through death he might destroy him who had the power of death, that is, the devil;","Forasmuch then as the children are partakers of flesh and blood, he also himself likewise took part of the same; that through death he might destroy him that had the power of death, that is, the devil;",modernized forasmuch; modernized him-that relative,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Hebrews 4:12,HEB,Hebrews,4,12,tr_literal_pass1,medium,14,anthropology_ethics; christology; spirit_church,anthropology_ethics:heart; anthropology_ethics:soul; christology:word; spirit_church:spirit,no,"For the word of God is active, and powerful, and sharper than any two-edged sword, piercing even to the dividing asunder of soul and spirit, and of the joints and marrow, and is a discerner of the thoughts and intents of the heart.","For the word (o. logos) of God is active, and powerful, and sharper than any two-edged sword, piercing even to the dividing asunder of soul and spirit, (o. pneuma) and of the joints and marrow, and is a discerner of the thoughts and intents of the heart.",removed UKJV inline Strong-style lexical marker,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Hebrews 6:2,HEB,Hebrews,6,2,needs_focused_tr_review,high,14,judgment_afterlife; soteriology,judgment_afterlife:judgment; soteriology:resurrection,yes,"Of the doctrine of baptisms, and of laying on of hands, and of resurrection of the dead, and of eternal judgment.","Of the doctrine of baptisms, and of laying on of hands, and of resurrection of the dead, and of eternal judgment.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 6:19,HEB,Hebrews,6,19,needs_focused_tr_review,high,14,anthropology_ethics,anthropology_ethics:hope; anthropology_ethics:soul,yes,"Which hope we have as an anchor of the soul, both sure and steadfast, and which enters into that within the veil;","Which hope we have as an anchor of the soul, both sure and steadfast, and which enters into that within the veil;",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 7:16,HEB,Hebrews,7,16,needs_focused_tr_review,high,14,law_covenant,law_covenant:commandment; law_covenant:law,yes,"Who is made, not after the law of a carnal commandment, but after the power of an endless life.","Who is made, not after the law of a carnal commandment, but after the power of an endless life.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 7:21,HEB,Hebrews,7,21,tr_literal_pass1,medium,14,anthropology_ethics; christology,anthropology_ethics:repent; christology:lord,no,"(For those priests were made without an oath; but this with an oath by him who said to him, The Lord swore and will not repent, You are a priest for ever after the order of Melchisedec:)","(For those priests were made without an oath; but this with an oath by him that said unto him, The Lord swore and will not repent, You are a priest for ever after the order of Melchisedec:)",modernized archaic directional unto; modernized him-that relative; normalized NT kurios as Lord,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Hebrews 7:23,HEB,Hebrews,7,23,needs_focused_tr_review,high,14,judgment_afterlife; textual_literal,judgment_afterlife:death; textual_literal:truly,yes,"And they truly were many priests, because they were not suffered to continue by reason of death:","And they truly were many priests, because they were not suffered to continue by reason of death:",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 9:12,HEB,Hebrews,9,12,needs_focused_tr_review,high,14,soteriology,soteriology:blood; soteriology:redemption,yes,"Neither by the blood of goats and calves, but by his own blood he entered in once into the holy place, having obtained eternal redemption for us.","Neither by the blood of goats and calves, but by his own blood he entered in once into the holy place, having obtained eternal redemption for us.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 9:13,HEB,Hebrews,9,13,needs_focused_tr_review,high,14,anthropology_ethics; soteriology,anthropology_ethics:flesh; soteriology:blood,yes,"For if the blood of bulls and of goats, and the ashes of an heifer sprinkling the unclean, santifies to the purifying of the flesh:","For if the blood of bulls and of goats, and the ashes of an heifer sprinkling the unclean, santifies to the purifying of the flesh:",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 9:15,HEB,Hebrews,9,15,tr_literal_pass1,medium,14,judgment_afterlife; law_covenant; soteriology,judgment_afterlife:death; law_covenant:covenant; law_covenant:promise; soteriology:redemption,no,"And for this cause he is the mediator of the new covenant, that by means of death, for the redemption of the transgressions that were under the first covenant, they which are called might receive the promise of eternal inheritance.","And for this cause he is the mediator of the new testament, that by means of death, for the redemption of the transgressions that were under the first testament, they which are called might receive the promise of eternal inheritance.",rendered diatheke as covenant,TR draft differs from UKJV witness; status:tr_literal_pass1; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Hebrews 9:19,HEB,Hebrews,9,19,needs_focused_tr_review,high,14,law_covenant; soteriology,law_covenant:law; soteriology:blood,yes,"For when Moses had spoken every precept to all the people according to the law, he took the blood of calves and of goats, with water, and scarlet wool, and hyssop, and sprinkled both the book, and all the people,","For when Moses had spoken every precept to all the people according to the law, he took the blood of calves and of goats, with water, and scarlet wool, and hyssop, and sprinkled both the book, and all the people,",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 10:8,HEB,Hebrews,10,8,needs_focused_tr_review,high,14,anthropology_ethics; law_covenant,anthropology_ethics:sin; law_covenant:law,yes,"Above when he said, Sacrifice and offering and burnt offerings and offering for sin you would not, neither had pleasure therein; which are offered by the law;","Above when he said, Sacrifice and offering and burnt offerings and offering for sin you would not, neither had pleasure therein; which are offered by the law;",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 10:22,HEB,Hebrews,10,22,needs_focused_tr_review,high,14,anthropology_ethics; soteriology,anthropology_ethics:heart; soteriology:faith,yes,"Let us draw near with a true heart in full assurance of faith, having our hearts sprinkled from an evil conscience, and our bodies washed with pure water.","Let us draw near with a true heart in full assurance of faith, having our hearts sprinkled from an evil conscience, and our bodies washed with pure water.",UKJV seed retained; needs focused Greek review,status:needs_focused_tr_review; theology/literal keyword hit,review Greek; UKJV witness not enough
Hebrews 10:30,HEB,Hebrews,10,30,tr_literal_pass1,medium,14,christology; judgment_afterlife,christology:lord; judgment_afterlife:judge,no,"For we know him who has said, Vengeance belongs to me, I will recompense, says the Lord. And again, The Lord shall judge his people.","For we know him that has said, Vengeance belongs unto me, I will recompense, says the Lord. And again, The Lord shall judge his people.",modernized archaic directional unto; modernized him-that relative; normalized NT kurios as Lord,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
