ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Exodus 17:9,Exodus,17,9,0,none,different_from_both,"And Moses said to Joshua, ""Choose for yourself strong men and go out and draw up in battle array against Amalek tomorrow. And look, I will stand on the top of the hill, and the rod of God will be in my hand.""","And Moses said unto Joshua, Choose us out men, and go out, fight with Amalek: tomorrow I will stand on the top of the hill with the rod of God in mine hand.","And Moses said to Joshua, Choose out for thyself mighty men, and go forth and set the army in array against Amalec to-morrow; and, behold, I shall stand on the top of the hill, and the rod of God will be in my hand.",0.761,0.196
Leviticus 15:26,Leviticus,15,26,0,none,different_from_both,"And every bed on which she lies during all the days of her flow shall be to her like the bed of her separation, and every vessel on which she sits shall be unclean like the uncleanness of her separation.","Every bed whereon she lies all the days of her issue shall be unto her as the bed of her separation: and whatsoever she sits upon shall be unclean, as the uncleanness of her separation.","And every bed on which she shall lie all the days of her flux shall be to her as the bed of her separation, and every seat whereon she shall sit shall be unclean according to the uncleanness of her separation.",0.809,0.245
2 Samuel 13:15,2 Samuel,13,15,0,none,different_from_both,"And Amnon hated her with a very great hatred, because the hatred with which he hated her was greater than the love with which he loved her. And Amnon said to her, Rise and go.","Then Amnon hated her exceedingly; so that the hatred wherewith he hated her was greater than the love wherewith he had loved her. And Amnon said unto her, Arise, be gone.","Then Amnon hated her with very great hatred; for the hatred with which he hated her was greater than the love with which he had loved her, for the last wickedness was greater than the first: and Amnon said to her, Rise, and begone.",0.774,0.212
2 Chronicles 18:3,2 Chronicles,18,3,0,none,different_from_both,"And Ahab king of Israel said to Jehoshaphat king of Judah, Will you go with me to Ramoth of Gilead? And he said to him, As I am, so are you; as your people, so my people, with you in battle.","And Ahab king of Israel said unto Jehoshaphat king of Judah, Will you go with me to Ramothgilead? And he answered him, I am as you are, and my people as your people; and we will be with you in the war.","And Achaab king of Israel said to Josaphat king of Juda, Wilt thou go with me to Ramoth of the country of Galaad? And he said to him, As I am, so also art thou, as thy people, so also is my people with thee for the war.",0.828,0.269
Jeremiah 6:10,Jeremiah,6,10,0,none,different_from_both,"To whom shall I speak and testify, and he will hear? Behold, their ears uncircumcised and they cannot hear. Behold, the word of the Lord became reproach to them. They will not want to hear it.","To whom shall I speak, and give warning, that they may hear? behold, their ear is uncircumcised, and they cannot hearken: behold, the word of the LORD is unto them a reproach; they have no delight in it.","To whom shall I speak, and testify, that he may hearken? behold, thine ears are uncircumcised, and they shall not be able to hear: behold, the word of the Lord is become to them a reproach, they will not at all desire it.",0.760,0.202
Ezekiel 7:2,Ezekiel,7,2,0,none,different_from_both,"And you, son of man, say, Thus says the Lord to land of Israel: End has come; end has come upon four wings of land.","Also, you son of man, thus says the Lord GOD unto the land of Israel; An end, the end has come upon the four corners of the land.",Thus saith the Lord;,0.807,0.250
2 Kings 17:6,2 Kings,17,6,0,none,different_from_both,"In the ninth year of Hoshea, the king of the Assyrians captured Samaria and deported Israel to the Assyrians and settled them in Halah and in Habor, rivers of Gozan, and mountains of the Medes.","In the ninth year of Hoshea the king of Assyria took Samaria, and carried Israel away into Assyria, and placed them in Halah and in Habor by the river of Gozan, and in the cities of the Medes.","In the ninth year of Osee the king of the Assyrians took Samaria, and carried Israel away to the Assyrians, and settled them in Alae, and in Abor, near the rivers of Gozan, and in the mountains of the Medes.",0.817,0.262
1 Samuel 17:49,1 Samuel,17,49,0,none,different_from_both,"And David stretched out his hand into the pouch and took from there one stone and slung it and struck the foreigner on his forehead, and the stone went through the helmet into his forehead, and he fell on his face to the ground.","And David put his hand in his bag, and took thence a stone, and slang it, and stroke the Philistine in his forehead, that the stone sunk into his forehead; and he fell upon his face to the earth.","And David stretched out his hand to his scrip, and took thence a stone, and slang it, and smote the Philistine on his forehead, and the stone penetrated through the helmet into his forehead, and he fell upon his face to the ground.",0.758,0.204
1 Kings 8:32,1 Kings,8,32,0,none,different_from_both,"then you will hear from heaven and act and judge your people Israel, to condemn the lawless by giving his way upon his own head, and to justify the righteous by giving to him according to his righteousness.","Then hear you in heaven, and do, and judge your servants, condemning the wicked, to bring his way upon his head; and justifying the righteous, to give him according to his righteousness.","then shalt thou hear from heaven, and do, and thou shalt judge thy people Israel, that the wicked should be condemned, to recompense his way upon his head; and to justify the righteous, to give to him according to his righteousness.",0.780,0.229
Deuteronomy 6:10,Deuteronomy,6,10,0,none,different_from_both,"And it shall be, when the Lord your God brings you into the land that he swore to your fathers, to Abraham and Isaac and Jacob, to give you, cities great and good that you did not build,","And it shall be, when the LORD your God shall have brought you into the land which he swore unto your fathers, to Abraham, to Isaac, and to Jacob, to give you great and goodly cities, which you builded not,","And it shall come to pass when the Lord thy God shall have brought thee into the land which he sware to thy fathers, to Abraam, and to Isaac, and to Jacob, to give thee great and beautiful cities which thou didst not build,",0.816,0.266
Micah 7:9,Micah,7,9,0,none,different_from_both,"I will bear the wrath of the Lord because I sinned against him, until he justifies my case and does my judgment, and he will bring me out to light; I will see his righteousness.","I will bear the indignation of the LORD, because I have sinned against him, until he plead my cause, and execute judgment for me: he will bring me forth to the light, and I shall behold his righteousness.","I will bear the indignation of the Lord, because I have sinned against him, until he make good my cause: he also shall maintain my right, and shall bring me out to the light, and I shall behold his righteousness.",0.798,0.259
1 Chronicles 29:20,1 Chronicles,29,20,0,none,different_from_both,"And David said to all assembly, Bless the Lord your God. And all assembly blessed the Lord God of their fathers, and bowing knees they worshiped the Lord and the king.","And David said to all the congregation, Now bless the LORD your God. And all the congregation blessed the LORD God of their fathers, and bowed down their heads, and worshipped the LORD, and the king.","And David said to the whole congregation, Bless ye the Lord our God. And all the congregation blessed the Lord God of their fathers, and they bowed the knee and worshipped the Lord, and did obeisance to the king.",0.787,0.249
Genesis 17:19,Genesis,17,19,0,none,different_from_both,"And God said to Abraham, Yes. Look, Sarah your wife shall bear you a son, and you shall call his name Isaac. And I will establish my covenant with him as an everlasting covenant, to be God to him and to his seed after him.","And God said, Sarah your wife shall bear you a son indeed; and you shall call his name Isaac: and I will establish my covenant with him for an everlasting covenant, and with his seed after him.","And God said to Abraam, Yea, behold, Sarrha thy wife shall bear thee a son, and thou shalt call his name Isaac; and I will establish my covenant with him, for an everlasting covenant, to be a God to him and to his seed after him.",0.868,0.330
1 Samuel 20:22,1 Samuel,20,22,0,none,different_from_both,"But if I say thus to the young man, Here is the arrow from you and beyond, go, because the Lord has sent you away.","But if I say thus unto the young man, Behold, the arrows are beyond you; go your way: for the LORD has sent you away.","If I should expressly say to the lad, The arrow is here, and on this side of thee, take it; then come, for it is well with thee, and there is no reason for fear, as the Lord lives: but if I should say thus to the young man, The arrow is on that side of thee, and beyond; go, for the Lord hath sent thee away.",0.784,0.247
2 Samuel 22:2,2 Samuel,22,2,0,none,different_from_both,"And he said, O Lord, my rock and my fortress and my rescuer for me,","And he said, The LORD is my rock, and my fortress, and my deliverer;",And the song was thus:,0.812,0.282
Numbers 27:4,Numbers,27,4,0,none,different_from_both,Let not the name of our father be wiped out from the midst of his clan because he has no son. Give us a possession among the brothers of our father.,"Why should the name of our father be done away from among his family, because he has no son? Give unto us therefore a possession among the brethren of our father.",And Moses brought their case before the Lord.,0.761,0.232
Ezekiel 13:8,Ezekiel,13,8,0,none,different_from_both,"Therefore thus says the Lord: Because your words are false and your divinations vain, therefore behold, I am against you, says the Lord.","Therefore thus says the Lord GOD; Because all of you have spoken vanity, and seen lies, therefore, behold, I am against you, says the Lord GOD.","And therefore say,",0.757,0.230
Leviticus 8:20,Leviticus,8,20,0,none,different_from_both,"And he cut the ram into limbs, and Moses offered the head and the limbs and the fat.","And he cut the ram into pieces; and Moses burnt the head, and the pieces, and the fat.","And Moses offered up the whole ram on the altar: it is a whole-burnt-offering for a sweet-smelling savour; it is a burnt-offering to the Lord, as the Lord commanded Moses.",0.854,0.329
1 Chronicles 25:4,1 Chronicles,25,4,0,none,different_from_both,"For Heman: sons of Heman, Bukkiah and Mattaniah and Azarel and Shebuel and Jerimoth and Ananias and Anani and Eliathah and Giddalti and Romamtiezer and Joshbekashah and Mallothi and Hothir and Mahazioth.","Of Heman: the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamtiezer, Joshbekashah, Mallothi, Hothir, and Mahazioth:","To Æman were reckoned the sons of Æman, Bukias, and Matthanias, and Oziel, and Subael, and Jerimoth, and Ananias, and Anan, and Heliatha, and Godollathi, and Rometthiezer, and Jesbasaca, and Mallithi, and Otheri, and Meazoth.",0.844,0.324
Genesis 32:11,Genesis,32,11,0,none,different_from_both,"Deliver me from the hand of my brother, from the hand of Esau, because I am afraid of him, lest he come and strike me, mother upon children.","Deliver me, I pray you, from the hand of my brother, from the hand of Esau: for I fear him, lest he will come and strike me, and the mother with the children.","Let there be to me a sufficiency of all the justice and all the truth which thou hast wrought with thy servant; for with this my staff I passed over this Jordan, and now I am become two camps.",0.797,0.278
Isaiah 6:10,Isaiah,6,10,0,none,different_from_both,"For heart of this people grew fat, and with their ears they heard heavily, and their eyes they closed, lest they see with eyes and hear with ears and understand with heart and turn, and I heal them.","Make the heart of this people fat, and make their ears heavy, and shut their eyes; lest they see with their eyes, and hear with their ears, and understand with their heart, and convert, and be healed.","For the heart of this people has become gross, and their ears are dull of hearing, and their eyes have they closed; lest they should see with their eyes, and hear with their ears, and understand with their heart, and be converted, and I should heal them.",0.769,0.255
Genesis 32:17,Genesis,32,17,0,none,different_from_both,"And he charged the first, saying, If Esau my brother meets you and asks you, saying, Whose are you and where are you going and whose are these going before you,","And he commanded the foremost, saying, When Esau my brother meet you, and asks you, saying, Whose are you? and where go you? and whose are these before you?","And he gave them to his servants each drove apart; and he said to his servants, Go on before me, and put a space between drove and drove.",0.878,0.368
Ezekiel 40:3,Ezekiel,40,3,0,none,different_from_both,"And he brought me there, and behold, a man, and his appearance was like appearance of gleaming bronze, and in his hand was builder’s cord and measuring reed, and he stood at gate.","And he brought me thither, and, behold, there was a man, whose appearance was like the appearance of brass, with a line of flax in his hand, and a measuring reed; and he stood in the gate.","And he brought me in thither, and, behold, there was a man, and the appearance of him was as the appearance of shining brass, and in his hand was a builder's line, and a measuring reed; and he stood at the gate.",0.765,0.261
Genesis 32:27,Genesis,32,27,0,none,different_from_both,"And he said to him, What is your name? And he said, Jacob.","And he said unto him, What is your name? And he said, Jacob.","And he said to him, Let me go, for the day has dawned; but he said, I will not let thee go, except thou bless me.",0.982,0.484
Exodus 34:18,Exodus,34,18,0,none,different_from_both,"And you shall keep the feast of unleavened bread. Seven days you shall eat unleavened bread, as I commanded you, at the appointed time in the month of new grain, for in the month of new grain you came out from Egypt.","The feast of unleavened bread shall you keep. Seven days you shall eat unleavened bread, as I commanded you, in the time of the month Abib: for in the month Abib you came out from Egypt.","And thou shalt keep the feast of unleavened bread: seven days shalt thou eat unleavened bread, as I have charged thee, at the season in the month of new corn; for in the month of new corn thou camest out from Egypt.",0.806,0.309
2 Samuel 21:1,2 Samuel,21,1,0,none,different_from_both,"And there was famine in the days of David three years, year following year. And David sought the face of the Lord, and the Lord said, There is guilt on Saul and on his house for blood, because he put the Gibeonites to death.","Then there was a famine in the days of David three years, year after year; and David enquired of the LORD. And the LORD answered, It is for Saul, and for his bloody house, because he slew the Gibeonites.","And there was a famine in the days of David three years, year after year; and David sought the face of the Lord. And the Lord said, There is guilt upon Saul and his house because of his bloody murder, whereby he slew the Gabaonites.",0.768,0.275
Isaiah 41:17,Isaiah,41,17,0,none,different_from_both,"For poor and needy will seek water and there will not be; their tongue dried up from thirst. I, the Lord God, will hear; God of Israel, I will not abandon them.","When the poor and needy seek water, and there is none, and their tongue fails for thirst, I the LORD will hear them, I the God of Israel will not forsake them.","And the poor and the needy shall exult; for when they shall seek water, and there shall be none, and their tongue is parched with thirst, I the Lord God, I the God of Israel will hear, and will not forsake them:",0.769,0.280
Leviticus 8:26,Leviticus,8,26,0,none,different_from_both,"And from the basket of completion that was before the Lord he took one unleavened loaf and one loaf of oil and one wafer, and placed them on the fat and the right arm.","And out of the basket of unleavened bread, that was before the LORD, he took one unleavened cake, and a cake of oiled bread, and one wafer, and put them on the fat, and upon the right shoulder:","and put them all on the hands of Aaron, and upon the hands of his sons, and offered them up for a wave-offering before the Lord.",0.786,0.303
2 Chronicles 20:10,2 Chronicles,20,10,0,none,different_from_both,"And now, behold, sons of Ammon and Moab and mount Seir, through whom you did not allow Israel to pass when they came out from land of Egypt, because they turned away from them and did not destroy them,","And now, behold, the children of Ammon and Moab and mount Seir, whom you would not let Israel invade, when they came out of the land of Egypt, but they turned from them, and destroyed them not;","And now, behold, the children of Ammon, and Moab, and mount Seir, with regard to whom thou didst not permit Israel to pass through their border, when they had come out of the land of Egypt, (for they turned away from them, and did not destroy them;)—",0.796,0.318
Deuteronomy 18:3,Deuteronomy,18,3,0,none,different_from_both,"And this is the due of the priests from the people, from those sacrificing the sacrifices, whether calf or sheep: he shall give to the priest the arm and the jaws and the stomach.","And this shall be the priest's due from the people, from them that offer a sacrifice, whether it be ox or sheep; and they shall give unto the priest the shoulder, and the two cheeks, and the maw.","And this is the due of the priests in the things coming from the people from those who offer sacrifices, whether it be a calf or a sheep; and thou shalt give the shoulder to the priest, and the cheeks, and the great intestine:",0.755,0.278
2 Kings 19:28,2 Kings,19,28,0,none,different_from_both,"Because you raged against me and your insolence went up in my ears, I will put my hooks in your nostrils and my bridle in your lips, and I will turn you back on the way by which you came.","Because your rage against me and your tumult has come up into mine ears, therefore I will put my hook in your nose, and my bridle in your lips, and I will turn you back by the way by which you came.","Because thou wast angry against me, and thy fierceness is come up into my ears, therefore will I put my hooks in thy nostrils, and my bridle in thy lips, and I will turn thee back by the way by which thou camest.",0.862,0.389
Genesis 22:22,Genesis,22,22,0,none,same_as_mt_differs_from_brenton,and Chesed and Hazo and Pildash and Jidlaph and Bethuel.,"And Chesed, and Hazo, and Pildash, and Jidlaph, and Bethuel.","Azav and Phaldes, and Jeldaph, and Bathuel, and Bathuel begot Rebecca;",1.000,0.529
Joshua 13:28,Joshua,13,28,0,none,different_from_both,"This is the inheritance of the sons of Gad according to their clans, their cities and their villages.","This is the inheritance of the children of Gad after their families, the cities, and their villages.","This is the inheritance of the children of Gad according to their families and according to their cities: according to their families they will turn their backs before their enemies, because their cities and their villages were according to their families.",0.827,0.358
Leviticus 8:22,Leviticus,8,22,0,none,different_from_both,"And Moses brought near the second ram, the ram of completion, and Aaron and his sons laid their hands on the head of the ram.","And he brought the other ram, the ram of consecration: and Aaron and his sons laid their hands upon the head of the ram.","and Moses took of his blood, and put it upon the tip of Aaron's right ear, and on the thumb of his right hand, and on the great toe of his right foot.",0.879,0.412
1 Samuel 5:12,1 Samuel,5,12,0,none,different_from_both,"And the living who did not die were struck in their seats, and the cry of the city went up to heaven.",And the men that died not were smitten with the emerods: and the cry of the city went up to heaven.,"For there was a very great confusion in all the city, when the ark of the God of Israel entered there; and those who lived and died not were smitten with emerods; and the cry of the city went up to heaven.",0.786,0.320
Judges 9:43,Judges,9,43,0,none,different_from_both,"And he took the people and divided it into three companies and lay in ambush in it, and he saw, and behold, the people were coming out of the city, and he rose up against them and struck them.","And he took the people, and divided them into three companies, and laid wait in the field, and looked, and, behold, the people were come forth out of the city; and he rose up against them, and stroke them.","And he took the people, and divided them into three companies, and formed an ambush in the field; and he looked, and, behold, the people went forth out of the city, and he rose up against them, and smote them.",0.867,0.403
2 Kings 8:21,2 Kings,8,21,0,none,different_from_both,"And Joram went over to Zair, and all the chariots with him. And it came to be, when he rose by night, he struck Edom that had encircled him and the commanders of the chariots, and the people fled to their tents.","So Joram went over to Zair, and all the chariots with him: and he rose by night, and stroke the Edomites which compassed him about, and the captains of the chariots: and the people fled into their tents.","And Joram went up to Sior, and all the chariots that were with him: and it came to pass after he had arisen, that he smote Edom who compassed him about, and the captains of the chariots; and the people fled to their tents.",0.791,0.328
Genesis 8:4,Genesis,8,4,0,none,different_from_both,"And the ark came to rest in the seventh month, on the twenty-seventh day of the month, on the mountains of Ararat.","And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat.",And the water continued to decrease until the tenth month.,0.902,0.440
Joshua 15:37,Joshua,15,37,0,none,same_as_mt_differs_from_brenton,"Zenan and Hadashah and Migdalgad,","Zenan, and Hadashah, and Migdalgad,","Senna, and Adasan, and Magadalgad,",1.000,0.540
Exodus 16:29,Exodus,16,29,0,none,different_from_both,"""See, for the Lord has given you this day as the Sabbath. Because of this he has given you on the sixth day bread for two days. Let each stay in his houses. Let no one go out from his place on the seventh day.""","See, for that the LORD has given you the sabbath, therefore he gives you on the sixth day the bread of two days; abide all of you every man in his place, let no man go out of his place on the seventh day.","See, for the Lord has given you this day as the sabbath, therefore he has given you on the sixth day the bread of two days: ye shall sit each of you in your houses; let no one go forth from his place on the seventh day.",0.756,0.297
2 Samuel 23:37,2 Samuel,23,37,0,none,different_from_both,"Zelek the Ammonite, Gelorai the Beerothite, carrying the arms of Joab son of Zeruiah,","Zelek the Ammonite, Nahari the Beerothite, armour bearer to Joab the son of Zeruiah,",Elie the Ammanite.,0.761,0.303
Numbers 21:23,Numbers,21,23,0,none,different_from_both,"And Sihon did not let Israel pass through his borders, and Sihon gathered all his people and came out to array for battle against Israel in the wilderness, and he came to Jahaz and arrayed for battle against Israel.","And Sihon would not suffer Israel to pass through his border: but Sihon gathered all his people together, and went out against Israel into the wilderness: and he came to Jahaz, and fought against Israel.","And Seon did not allow Israel to pass through his borders, and Seon gathered all his people, and went out to set the battle in array against Israel into the wilderness; and he came to Jassa, and set the battle in array against Israel.",0.810,0.358
Genesis 32:25,Genesis,32,25,0,none,different_from_both,"And he saw that he could not prevail against him, and he touched the broad part of his thigh, and the broad part of Jacob's thigh went numb while he wrestled with him.","And when he saw that he prevailed not against him, he touched the hollow of his thigh; and the hollow of Jacob's thigh was out of joint, as he wrestled with him.",And Jacob was left alone; and a man wrestled with him till the morning.,0.752,0.302
Numbers 5:30,Numbers,5,30,0,none,different_from_both,"or when a spirit of jealousy comes upon a man and he is jealous of his wife, and he shall set his wife before the Lord, and the priest shall do to her all this law.","Or when the spirit of jealousy comes upon him, and he be jealous over his wife, and shall set the woman before the LORD, and the priest shall execute upon her all this law.","or in the case of a man on whomsoever the spirit of jealousy should come, and he should be jealous of his wife, and he should place his wife before the Lord, and the priest shall execute towards her all this law.",0.857,0.407
Lamentations 2:16,Lamentations,2,16,0,none,different_from_both,"All your enemies opened their mouth over you, hissed and gnashed teeth. They said, We swallowed her up. Yet this is the day we expected. We found it. We saw it.","All yours enemies have opened their mouth against you: they hiss and gnash the teeth: they say, We have swallowed her up: certainly this is the day that we looked for; we have found, we have seen it.","Ain. All thine enemies have opened their mouth against thee: they have hissed and gnashed their teeth, and said, We have swallowed her up: moreover this is the day which we looked for; we have found it, we have seen it.",0.759,0.313
2 Chronicles 36:21,2 Chronicles,36,21,0,none,different_from_both,"to fulfill the word of the Lord by the mouth of Jeremiah, until land welcomed its Sabbaths. All days of its desolation it kept Sabbaths to fulfill seventy years.","To fulfill the word of the LORD by the mouth of Jeremiah, until the land had enjoyed her sabbaths: for as long as she lay desolate she kept sabbath, to fulfill threescore and ten years.","That the word of the Lord by the mouth of Jeremias might be fulfilled, until the land should enjoy its sabbaths in resting and sabbath keeping all the days of its desolation, till the accomplishment of seventy years.",0.779,0.334
2 Samuel 23:1,2 Samuel,23,1,0,none,different_from_both,"And these are the last words of David: Faithful is David son of Jesse, and faithful the man whom the Lord raised up to be the anointed of the God of Jacob, and beautiful are the psalms of Israel.","Now these be the last words of David. David the son of Jesse said, and the man who was raised up on high, the anointed of the God of Jacob, and the sweet psalmist of Israel, said,",And these are the last words of David.,0.769,0.325
2 Chronicles 10:15,2 Chronicles,10,15,0,none,different_from_both,"And king did not listen to people, because turn came from God, so that the Lord might raise up his word which he spoke by the hand of Ahijah the Shilonite concerning Jeroboam son of Nebat.","So the king hearkened not unto the people: for the cause was of God, that the LORD might perform his word, which he spoke by the hand of Ahijah the Shilonite to Jeroboam the son of Nebat.","And the king hearkened not to the people, for there was a change of their minds from God, saying, The Lord has confirmed his word, which he spoke by the hand of Achia the Selonite concerning Jeroboam the son of Nabat, and concerning all Israel;",0.772,0.331
Deuteronomy 3:21,Deuteronomy,3,21,0,none,different_from_both,"And to Joshua I commanded at that time, saying, Your eyes have seen all that the Lord our God did to these two kings. So the Lord our God will do to all the kingdoms into which you are crossing there.","And I commanded Joshua at that time, saying, Yours eyes have seen all that the LORD your God has done unto these two kings: so shall the LORD do unto all the kingdoms where you pass.","And I commanded Joshua at that time, saying, Your eyes have seen all things, which the Lord our God did to these two kings: so shall the Lord our God do to all the kingdoms against which thou crossest over thither.",0.791,0.356
Ezekiel 37:12,Ezekiel,37,12,0,none,different_from_both,"Therefore prophesy and say, Thus says the Lord: Behold, I open your tombs and bring you up from your tombs and bring you into land of Israel.","Therefore prophesy and say unto them, Thus says the Lord GOD; Behold, O my people, I will open your graves, and cause you to come up out of your graves, and bring you into the land of Israel.","Therefore prophesy and say,",0.754,0.319
2 Chronicles 35:16,2 Chronicles,35,16,0,none,different_from_both,"And all service of the Lord was set right and prepared on that day, to keep Passover and to offer whole burnt offerings upon altar of the Lord according to command of king Josiah.","So all the service of the LORD was prepared the same day, to keep the passover, and to offer burnt offerings upon the altar of the LORD, according to the commandment of king Josiah.","So all the service of the Lord was duly ordered and prepared in that day, for keeping the passover, and offering the whole-burnt-sacrifices on the altar of the Lord, according to the command of king Josias.",0.847,0.427
Obadiah 1:2,Obadiah,1,2,0,none,different_from_both,"Behold, I made you few among nations; you are greatly dishonored.","Behold, I have made you small among the heathen: you are greatly despised.","Arise ye, and let us rise up against her to war.",0.752,0.333
Numbers 21:13,Numbers,21,13,0,none,different_from_both,"And from there, setting out, they camped beyond Arnon, in the wilderness that extends from the borders of the Amorites. For Arnon is the border of Moab, between Moab and the Amorite.","From thence they removed, and pitched on the other side of Arnon, which is in the wilderness that comes out of the coasts of the Amorites: for Arnon is the border of Moab, between Moab and the Amorites.","And they departed thence and encamped on the other side of Arnon in the wilderness, the country which extends from the coasts of the Amorites; for Arnon is the borders of Moab, between Moab and the Amorites.",0.756,0.338
1 Samuel 29:8,1 Samuel,29,8,0,none,different_from_both,"And David said to Achish, What have I done to you, and what have you found in your servant from the day I was before you until this day, that I should not come to fight the enemies of my lord the king?","And David said unto Achish, But what have I done? and what have you found in your servant so long as I have been with you unto this day, that I may not go fight against the enemies of my lord the king?","And David said to Anchus, What have I done to thee? and what hast thou found in thy servant from the first day that I was before thee even until this day, that I should not come and war against the enemies of the lord my king?",0.827,0.411
Nehemiah 12:42,Nehemiah,12,42,0,none,different_from_both,"and Maaseiah and Shemaiah and Eleazar and Uzzi and Jehohanan and Malchiah and Elam and Ezour. And the singers were heard, and they were appointed.","And Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud, with Jezrahiah their overseer.","And the singers were heard, and were numbered.",0.825,0.417
Judges 2:7,Judges,2,7,0,none,different_from_both,"And the people served the Lord all the days of Joshua and all the days of the elders who lived long after Joshua, who knew all the great work of the Lord that he did for Israel.","And the people served the LORD all the days of Joshua, and all the days of the elders that outlived Joshua, who had seen all the great works of the LORD, that he did for Israel.","And the people served the Lord all the days of Joshua, and all the days of the elders that lived many days with Joshua, as many as knew all the great work of the Lord, what things he had wrought in Israel.",0.914,0.511
2 Kings 13:12,2 Kings,13,12,0,none,different_from_both,"And the rest of the words of Joash and all that he did and his acts of power with which he fought with Amaziah king of Judah, are these not written in the book of the words of the days for the kings of Israel?","And the rest of the acts of Joash, and all that he did, and his might wherewith he fought against Amaziah king of Judah, are they not written in the book of the chronicles of the kings of Israel?","And the rest of the acts of Joas, and all that he did, and his mighty acts which he performed together with Amessias king of Juda, are not these written in the book of the chronicles of the kings of Israel?",0.844,0.445
1 Kings 22:32,1 Kings,22,32,0,none,different_from_both,"And it came to be when the rulers of the chariots saw Jehoshaphat king of Judah, they said, This one appears to be the king of Israel, and they surrounded him to fight, and Jehoshaphat cried out.","And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out.","And it came to pass, when the captains of the chariots saw Josaphat king of Juda, that they said, This seems to be the king of Israel. And they compassed him about to fight against him; and Josaphat cried out.",0.773,0.377
1 Kings 18:10,1 Kings,18,10,0,none,different_from_both,"As the Lord your God lives, there is no nation or kingdom where my lord has not sent to seek you, and they said, He is not here, and he bound the kingdom and its regions by oath that it had not found you.","As the LORD your God lives, there is no nation or kingdom, where my lord has not sent to seek you: and when they said, He is not there; he took an oath of the kingdom and nation, that they found you not.","As the Lord thy God lives, there is not a nation or kingdom, whither my lord has not sent to seek thee; and if they said, He is not here, then has he set fire to the kingdom and its territories, because he has not found thee.",0.856,0.460
2 Kings 11:5,2 Kings,11,5,0,none,different_from_both,"And he commanded them, saying, This is the word that you shall do: a third of you, those entering on the Sabbath, shall keep watch of the king's house at the gate.","And he commanded them, saying, This is the thing that all of you shall do; A third part of you that enter in on the sabbath shall even be keepers of the watch of the king's house;","And charged them, saying, This is the thing which ye shall do.",0.824,0.428
1 Chronicles 26:3,1 Chronicles,26,3,0,none,different_from_both,"Elam fifth, Jehohanan sixth, Elioenai seventh.","Elam the fifth, Jehohanan the sixth, Elioenai the seventh.","the fifth Jolam, the sixth Jonathan, the seventh Elionai, the eighth Abdedom.",0.878,0.483
Exodus 31:6,Exodus,31,6,0,none,different_from_both,"And I, behold, have appointed with him Oholiab son of Ahisamach, of the tribe of Dan. And to everyone wise in heart I have given understanding, and they shall make all that I commanded you:","And I, behold, I have given with him Aholiab, the son of Ahisamach, of the tribe of Dan: and in the hearts of all that are wise hearted I have put wisdom, that they may make all that I have commanded you;","And I have appointed him and Eliab the son of Achisamach of the tribe of Dan, and to every one understanding in heart I have given understanding; and they shall make all things as many as I have appointed thee,—",0.753,0.359
1 Chronicles 25:2,1 Chronicles,25,2,0,none,different_from_both,"Sons of Asaph: Zaccur and Joseph and Nethaniah and Asarelah, sons of Asaph, under Asaph the prophet, under king.","Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king.","The sons of Asaph; Sacchur, Joseph, and Nathanias, and Erael: the sons of Asaph were next the king.",0.772,0.380
1 Chronicles 8:4,1 Chronicles,8,4,0,none,different_from_both,"and Abishua and Naaman and Ahijah,","And Abishua, and Naaman, and Ahoah,","and Abessue, and Noama, and Achia,",0.954,0.562
Genesis 32:30,Genesis,32,30,0,none,different_from_both,"And Jacob called the name of that place Form of God, for I saw God face to face, and my life was saved.","And Jacob called the name of the place Peniel: for I have seen God face to face, and my life is preserved.","And Jacob asked and said, Tell me thy name; and he said, Wherefore dost thou ask after my name? and he blessed him there.",0.808,0.417
Exodus 20:9,Exodus,20,9,0,none,different_from_both,"""For six days you shall work and do all your works,""","Six days shall you labour, and do all your work:","Six days thou shalt labour, and shalt perform all thy work.",0.800,0.415
Exodus 23:6,Exodus,23,6,0,none,different_from_both,You shall not pervert the judgment of a poor man in his case.,You shall not shift the judgment of your poor in his cause.,Thou shalt not wrest the sentence of the poor in his judgment.,0.831,0.446
Leviticus 8:29,Leviticus,8,29,0,none,different_from_both,"And Moses, taking the breast, presented it before the Lord from the ram of completion, and it became Moses' portion, just as the Lord commanded Moses.","And Moses took the breast, and waved it for a wave offering before the LORD: for of the ram of consecration it was Moses' part; as the LORD commanded Moses.","And Moses took of the anointing oil, and of the blood that was on the altar, and sprinkled it on Aaron, and on his garments, and his sons, and the garments of his sons with him.",0.759,0.381
